person_id,movie_id
1081633,127316
1209378,223783
590181,80679
215490,47652
223067,55748
2844,25149
1353576,172528
84057,147065
7466,226277
94696,200259
1178922,198444
10777,47752
99860,28149
78231,176801
107523,31029
18177,71350
221103,200427
6519,117338
1207109,221963
104456,29636
125106,75693
85161,19784
1169500,79743
205184,123492
195597,163600
1157716,219896
115172,233142
21193,82449
1193547,168512
137336,54924
1156025,173264
96225,25766
544156,207465
1638327,106076
60655,152522
1201597,115940
1095345,132352
131567,177757
583779,39298
1047057,227083
2002202,60769
10841,59222
1182841,201136
15736,90939
1138190,229394
139382,155238
1093246,180666
228072,146309
112315,114550
233784,49884
1073076,214475
936520,20632
932073,220959
307704,73571
66525,58197
1009358,96421
54082,8212
109621,110647
78570,210471
10057,199708
296274,114922
142947,96782
20795,12693
80998,140251
1262669,228144
1262673,228145
16758,223677
1291673,254893
111250,330151
109434,259247
1272356,237979
1203554,316899
21136,269512
1364925,353641
1155539,242639
137336,341896
140738,254112
45999,374402
223781,249279
107528,236788
43946,268743
111248,257196
86870,361496
141337,239250
1157417,279807
1253564,241429
1131811,277470
21909,261507
1202465,250185
1990878,433016
78036,252204
1331901,522448
1871423,471339
1159,499754
1649012,441189
1911040,525468
929711,510488
1847352,465186
74947,467101
1260900,530087
1357295,547774
1077146,570426
2147006,642122
10075,613016
1282674,628742
2386380,622949
133018,662053
557997,156289
11355,21180
1192076,149192
7693,54448
6497,21224
556978,69730
1327,123150
440879,136078
25256,80742
6720,51799
40300,16034
25256,78279
224321,71239
21909,36171
88940,58668
1088968,78298
41903,42771
93259,72728
82636,50492
107528,219582
85785,209134
15916,69897
147733,107525
938215,90170
580826,76959
6577,174713
116157,154430
7590,74183
87637,21549
1051376,111542
224759,123479
96862,109530
523548,75717
566740,165944
1070388,117452
116278,224275
1105835,136563
137411,46734
23356,88247
226577,79784
1604,92786
58646,157228
7351,180204
3968,102011
125270,226916
591022,81127
1046902,209557
1105702,141235
568687,62106
1074643,121691
570522,85321
175615,20175
9195,159535
588655,80020
86212,161801
67091,191385
21345,85397
258,227188
55689,18507
582071,77483
79091,39367
88495,22193
928645,82697
995369,52406
45661,70451
1095865,148178
2553308,51048
471307,73315
1195617,143959
1061496,30200
54325,150514
936056,52511
1199731,56622
16441,169319
76554,35553
235695,63898
233556,181030
65463,229883
77977,39795
26061,52670
19024,20693
63584,44742
31699,80447
378,96535
1265133,52812
57088,17375
78568,15703
151457,58379
1241318,76622
143347,50163
11045,72426
7744,75230
105843,116841
1055761,151462
270,160779
1008141,223666
144807,135913
112733,19299
1144892,253574
72792,298659
1556545,375311
1045404,315612
78429,340349
77983,285172
555472,240222
5999,250950
17160,252801
37237,335593
265,270060
77238,391756
1288487,253098
1021760,365397
86089,239248
21662,257448
72732,331075
944671,298453
1438264,443408
1359676,563380
2024839,520232
569150,473503
141704,607447
1724403,622832
31387,611763
101690,630849
1073034,71080
232286,160849
123329,81971
590472,96988
74709,82025
38881,10273
128235,84865
232299,219499
50927,10291
57831,80779
5887,10335
1037959,105516
106617,182356
145882,127606
1187238,192839
1062633,125418
16974,115475
553592,123355
1105460,136305
16778,103751
1068145,87992
93259,83646
105161,97282
19942,61835
931329,119276
126864,46663
208016,54708
1181393,200548
205184,105730
382,103903
1246961,224282
123453,103922
49734,34491
107944,56102
1195614,115656
145242,34499
126936,70060
1014016,97575
19857,117530
41275,228991
20652,45475
52913,77205
127856,68798
934913,67499
3092,123771
69865,71665
72764,234937
76068,123846
953,177545
85499,28517
137621,46880
32089,70239
15576,46899
1162721,128184
1541859,177692
1113974,111980
1041492,63619
57830,82634
125585,116019
76961,80041
21596,185351
77351,77512
145904,52390
64774,62343
1292094,67732
2744,100329
225681,77584
124283,71913
75913,38069
2603,126284
1111204,96012
76331,74710
568852,73332
1072047,71951
79331,53817
71157,33296
45060,122191
936649,88964
1193612,210054
590943,100512
1201069,216437
1069783,22493
6975,112462
1136968,155633
1076128,122398
89633,108547
32905,84401
53425,12457
1171653,63987
588671,126732
27271,58193
15320,146550
1285335,133164
1197012,212550
64436,197813
79760,55502
42067,64101
723,11098
