movie_id,genre_id,genre_name
111088,10752,War
111088,18,Drama
54953,80,Crime
54953,18,Drama
276488,53,Thriller
276488,27,Horror
295709,35,Comedy
295709,18,Drama
295709,10402,Music
54955,18,Drama
54954,18,Drama
54954,80,Crime
340666,18,Drama
340666,53,Thriller
14346,35,Comedy
505036,18,Drama
78516,99,Documentary
78516,36,History
78516,10752,War
111101,35,Comedy
111101,18,Drama
179783,18,Drama
111098,18,Drama
111098,10749,Romance
179796,10751,Family
179796,14,Fantasy
179796,10402,Music
295724,18,Drama
295719,18,Drama
373247,35,Comedy
14344,35,Comedy
14344,18,Drama
54966,10402,Music
54966,18,Drama
54966,10749,Romance
111110,99,Documentary
242911,28,Action
242911,18,Drama
242888,18,Drama
441967,18,Drama
441967,53,Thriller
441967,28,Action
276498,18,Drama
538632,18,Drama
538632,53,Thriller
538632,9648,Mystery
179798,53,Thriller
179798,28,Action
179798,80,Crime
33581,35,Comedy
340670,53,Thriller
340670,27,Horror
340670,80,Crime
505060,27,Horror
505060,53,Thriller
78522,27,Horror
78522,53,Thriller
78522,9648,Mystery
295721,18,Drama
14349,18,Drama
441971,99,Documentary
340665,18,Drama
340665,35,Comedy
373273,16,Animation
54968,9648,Mystery
54968,18,Drama
54968,14,Fantasy
179826,9648,Mystery
179826,53,Thriller
111103,99,Documentary
54973,35,Comedy
54973,10749,Romance
78525,18,Drama
340676,18,Drama
340676,9648,Mystery
340676,53,Thriller
505058,27,Horror
505058,53,Thriller
505058,9648,Mystery
505089,80,Crime
33579,18,Drama
33579,10749,Romance
179843,18,Drama
78517,18,Drama
78517,35,Comedy
14351,28,Action
14351,12,Adventure
14351,18,Drama
14347,35,Comedy
14347,10749,Romance
111149,35,Comedy
33583,36,History
33583,18,Drama
33583,35,Comedy
14348,35,Comedy
14348,99,Documentary
111089,18,Drama
111089,35,Comedy
441996,18,Drama
441996,36,History
441996,10749,Romance
441996,10770,TV Movie
373296,16,Animation
373296,878,Science Fiction
295715,36,History
295715,28,Action
295715,18,Drama
111109,18,Drama
767196,18,Drama
33569,18,Drama
579245,35,Comedy
579245,18,Drama
54963,28,Action
54963,27,Horror
442000,28,Action
442000,35,Comedy
442000,53,Thriller
340669,80,Crime
340669,53,Thriller
276496,18,Drama
276496,36,History
33586,35,Comedy
33586,10749,Romance
441974,99,Documentary
78527,99,Documentary
14357,18,Drama
33582,18,Drama
635399,18,Drama
635399,10751,Family
442056,35,Comedy
442056,16,Animation
442056,10751,Family
442056,14,Fantasy
54991,10749,Romance
54991,18,Drama
242951,18,Drama
111155,28,Action
111155,80,Crime
111155,18,Drama
14353,27,Horror
14353,878,Science Fiction
14353,10402,Music
579273,18,Drama
579273,53,Thriller
54976,18,Drama
441957,12,Adventure
441957,10751,Family
441957,14,Fantasy
441957,16,Animation
111160,10402,Music
111160,35,Comedy
33604,35,Comedy
33604,10749,Romance
602822,18,Drama
78528,35,Comedy
276504,99,Documentary
242928,878,Science Fiction
242928,35,Comedy
242928,18,Drama
54989,18,Drama
54989,36,History
295748,35,Comedy
295748,18,Drama
295748,10749,Romance
33580,80,Crime
33580,18,Drama
78545,18,Drama
373265,35,Comedy
33601,10749,Romance
33601,35,Comedy
33601,18,Drama
54981,18,Drama
242978,18,Drama
33606,35,Comedy
54990,18,Drama
340674,18,Drama
340674,53,Thriller
14355,12,Adventure
14355,28,Action
14355,35,Comedy
14355,10749,Romance
78539,18,Drama
33588,99,Documentary
33588,10752,War
505143,18,Drama
33605,35,Comedy
33603,35,Comedy
33603,10749,Romance
179917,18,Drama
54982,18,Drama
111172,35,Comedy
111172,18,Drama
373256,99,Documentary
1029447,18,Drama
111132,18,Drama
111132,10749,Romance
14365,53,Thriller
505204,35,Comedy
505204,10751,Family
505204,14,Fantasy
505204,80,Crime
14359,18,Drama
54986,18,Drama
54986,10749,Romance
111174,99,Documentary
78541,10749,Romance
78541,80,Crime
78541,18,Drama
14372,12,Adventure
14372,27,Horror
14372,53,Thriller
14372,878,Science Fiction
33591,35,Comedy
33591,18,Drama
14361,12,Adventure
14361,35,Comedy
897593,80,Crime
897593,18,Drama
33598,18,Drama
33598,36,History
442065,18,Drama
442065,28,Action
442065,10752,War
442185,53,Thriller
442185,18,Drama
442185,9648,Mystery
505175,35,Comedy
505175,10749,Romance
14362,28,Action
14362,80,Crime
78552,80,Crime
78552,27,Horror
78552,9648,Mystery
33592,27,Horror
33592,53,Thriller
179956,18,Drama
179956,36,History
442197,18,Drama
442197,99,Documentary
78535,18,Drama
78535,10749,Romance
55016,27,Horror
276506,18,Drama
78553,35,Comedy
14373,28,Action
14373,80,Crime
14373,18,Drama
179944,28,Action
340684,18,Drama
340684,10749,Romance
55015,18,Drama
505177,18,Drama
505177,9648,Mystery
505177,53,Thriller
54994,99,Documentary
78557,53,Thriller
78557,10770,TV Movie
243142,35,Comedy
243142,10749,Romance
78538,80,Crime
442126,35,Comedy
14375,80,Crime
14375,18,Drama
14367,35,Comedy
33613,28,Action
33613,53,Thriller
33613,80,Crime
33613,9648,Mystery
442094,28,Action
373314,53,Thriller
373314,18,Drama
373314,9648,Mystery
276520,18,Drama
276520,53,Thriller
276520,10770,TV Movie
14383,35,Comedy
505192,18,Drama
505192,80,Crime
505192,53,Thriller
243101,35,Comedy
33615,28,Action
33615,12,Adventure
33615,878,Science Fiction
33615,53,Thriller
505201,53,Thriller
505201,10770,TV Movie
14368,12,Adventure
14368,16,Animation
14368,35,Comedy
14368,10751,Family
538667,35,Comedy
538667,10749,Romance
442123,35,Comedy
55007,878,Science Fiction
55007,10751,Family
505205,99,Documentary
78546,18,Drama
78546,27,Horror
55018,27,Horror
55018,53,Thriller
78561,27,Horror
78561,878,Science Fiction
78561,14,Fantasy
78561,53,Thriller
78561,9648,Mystery
579286,18,Drama
579286,35,Comedy
14389,35,Comedy
14389,10749,Romance
14389,18,Drama
14369,35,Comedy
180088,12,Adventure
180088,10749,Romance
442133,28,Action
442133,12,Adventure
442133,35,Comedy
373348,99,Documentary
78548,80,Crime
78548,18,Drama
78548,27,Horror
33625,28,Action
33625,80,Crime
33625,18,Drama
33625,9648,Mystery
33625,53,Thriller
111171,35,Comedy
14370,35,Comedy
14370,10749,Romance
14370,878,Science Fiction
1029602,18,Drama
373349,99,Documentary
505273,35,Comedy
505273,18,Drama
505273,10749,Romance
33608,35,Comedy
78563,18,Drama
78563,12,Adventure
704331,35,Comedy
579298,35,Comedy
442236,9648,Mystery
442236,99,Documentary
442236,80,Crime
442236,36,History
78565,18,Drama
78565,18,Drama
373353,18,Drama
505280,99,Documentary
340694,18,Drama
340694,14,Fantasy
180097,35,Comedy
180097,18,Drama
33638,37,Western
33638,35,Comedy
55008,18,Drama
180048,14,Fantasy
180048,10402,Music
180048,10749,Romance
55035,53,Thriller
55035,9648,Mystery
33610,35,Comedy
33610,10749,Romance
33610,18,Drama
243139,18,Drama
180099,80,Crime
180099,35,Comedy
55011,18,Drama
55011,10749,Romance
55011,53,Thriller
243140,18,Drama
373321,80,Crime
373321,28,Action
33611,80,Crime
33611,35,Comedy
33611,10752,War
317188,10770,TV Movie
317188,35,Comedy
180056,10751,Family
180056,35,Comedy
180056,18,Drama
505362,28,Action
505362,18,Drama
340696,35,Comedy
295782,18,Drama
373355,99,Documentary
373355,36,History
897611,18,Drama
897611,36,History
111188,18,Drama
180069,18,Drama
243149,35,Comedy
243149,14,Fantasy
442256,18,Drama
78568,18,Drama
78568,10749,Romance
14395,18,Drama
14395,10749,Romance
340712,99,Documentary
317161,36,History
317161,18,Drama
14396,28,Action
14396,35,Comedy
14396,80,Crime
33645,27,Horror
33645,878,Science Fiction
33645,12,Adventure
33645,28,Action
33645,53,Thriller
557908,35,Comedy
897620,28,Action
897620,53,Thriller
78571,18,Drama
373371,99,Documentary
373371,36,History
373371,10402,Music
111190,18,Drama
180081,18,Drama
55057,18,Drama
55057,10751,Family
55058,35,Comedy
55058,10749,Romance
78574,35,Comedy
