movie_id,company_id,company_name
33591,33717,Sektor Film
33591,46286,Propeler Film
33591,52878,Yodi Movie Craftsman
33591,169698,Concordia Film
33591,65034,Makedonska Televizija
33591,4300,Viba film
33591,101676,Studios
33591,46288,RTV Bosna-Herzegovina
33591,2707,Novotny & Novotny Filmproduktion
33591,9217,Pioneer Pictures
33591,23207,Invicta Capital
33591,20915,Hrvatska Radiotelevizija
14361,9195,Touchstone Pictures
14361,8830,Touchwood Pacific Partners 1
897593,344,Mosfilm
33598,20915,Hrvatska Radiotelevizija
33598,49771,MK Production
33598,89814,Ministarstvo Kulture Republike Hrvatske
442065,21897,Foresight Unlimited
442065,145719,Provocator
442065,65649,SSS Entertainment
442065,111793,BCL Finance Group
442065,145720,Boss Collaboration
442065,108353,SC Films Thailand Co.
442065,145721,Production Capital
442065,145722,Hollywood Gold
442065,145723,Hero Entertainment Group
442185,93924,Mami Wata Pekin Productions
505175,100972,RSVP Movies
505175,182244,Leo Media Collective
14362,16775,Arnold Kopelson Productions
14362,17825,Seagal/Nasso Productions
14362,174,Warner Bros. Pictures
78552,8128,Productions Two
33592,26932,Mrs. White's Productions
179956,1669,Les Productions Belles Rives
179956,136180,Midships Associés
442197,13930,Embrafilme
78535,40984,Magouric Productions
78535,104,Canal+
55016,2435,Langley Productions
276506,22227,Profilm
276506,7254,Greek Film Centre
14373,13549,Golan-Globus Productions
14373,664,City Film
14373,14115,Landers-Roberts Productions
14373,1444,The Cannon Group
14373,1138,Filmways Pictures
179944,35030,Tung Loong Overseas Group
340684,92902,Wolfe Video
340684,213727,Little Big Horn Films
55015,16928,Homeroom LLC
505177,5056,Head Gear Films
505177,6371,Unstoppable Entertainment
54994,109778,Reckless Productions
54994,3924,Bert Marcus Productions
54994,14914,HBO Documentary Films
78557,2865,Insight Film Studios
78538,35297,Swanie Productions
78538,356,TF1 Films Production
442126,86648,Winston Cinematografica
14375,10102,Cattleya
14375,176346,Crime Novel Films Limited
14375,3366,Babe Films
14375,12923,Warner Bros Pictures Italia
14367,554,Silver Screen Partners III
14367,9195,Touchstone Pictures
33613,235,Nordisk Film Denmark
33613,5746,Yellow Bird
33613,4606,ZDF
33613,2999,SVT
33613,2801,Film i Väst
442094,86630,Chasing Butterflies
442094,86631,Church Hill Productions
442094,86632,Apothecary Entertainment
442094,86633,Chasing Butterflies Pictures
442094,86634,Samera Entertainment
373314,1632,Lionsgate
373314,59367,Mike and Marty Productions
14383,3798,Greentrees Films
14383,87571,Sun-Lite Pictures
14383,4063,Trimark Pictures
505192,3341,Fuji Television Network
505192,39804,AOI Pro.
505192,75214,BUN-BUKU
505192,84048,GAGA Corporation
243101,19485,14 Luglio Cinematografica
243101,18477,Les Films La Boétie
243101,34038,Productions Simone Allouche
33615,3546,Hollywood Media Bridge
505201,100977,Parting Films
14368,192,Shochiku
14368,4262,Tezuka Productions
538667,91725,Refugee Club
538667,91726,Big World Cinema
538667,1618,Komplizen Film
442123,86644,Tridente Cinematografica
55007,1251,ARD
505205,117652,The Palindrome
505205,117653,Centro Televisivo Vaticano
505205,117655,Célestes Images
505205,72678,Solares Fondazione delle Arti
505205,4503,Road Movies
505205,37048,Decia Films
505205,117657,Fondazione Solares Suisse
505205,10146,Focus Features
78546,1415,Capitolina Produzioni Cinematografiche
78546,494,AVCO Embassy Pictures
78561,5993,Curb Entertainment
78561,55236,Grizzly Peak Films
78561,5856,Sci-Fi Channel
14369,431,The Donners' Company
14369,158,Spyglass Entertainment
14369,9195,Touchstone Pictures
14369,1171,Epsilon Motion Pictures
442133,5754,Rat Pack Filmproduktion
78548,25130,Baraka Productions
