movie_id,keyword_id,keyword_name
95048,740,aids
95048,582,"san francisco, california"
95048,9766,hiv
95048,10714,serial killer
95048,156026,east germany
95048,158718,lgbt
95048,187675,medical student
95048,258533,gay theme
95048,270319,secret experiment
24712,258,bomb
45110,596,adultery
45110,1523,obsession
45110,4320,lover
45110,10705,confusion
45110,13028,writer
45110,14818,model
507949,378,prison
507949,3344,letter
507949,13068,impostor
507949,14831,stabbing
507949,187551,telephone sex
394655,240610,fighters
394655,244797,donbass war
394655,257783,2010s
394655,272265,ukraine
24713,6149,police
24713,6019,human trafficking
24713,9826,murder
357202,156212,spaghetti western
394661,818,based on novel or book
394661,10877,dead body
394661,13005,doctor
67530,12425,racism
45111,12425,racism
45111,157895,car driving
8699,1228,1970s
8699,917,journalism
8699,4411,sexism
8699,6198,ladder
8699,8531,panda
8699,18298,tv show in film
8699,41390,mustache
8699,155457,screwball comedy
8699,163096,battle of the sexes
8699,165288,misogynist
8699,167250,teleprompter
8699,167254,gang warfare
8699,179430,aftercreditsstinger
8699,179431,duringcreditsstinger
8699,185281,news spoof
95077,1459,marriage proposal
95077,550,call girl
95077,3182,seduction
95077,14735,motorcycle
445040,6270,high school
445040,1228,1970s
445040,5565,biography
445040,9672,based on true story
445040,2494,ohio
445040,9740,sociopath
445040,9826,murder
445040,10180,male homosexuality
445040,10714,serial killer
445040,15160,divorce
445040,171556,social outcast
619366,616,witch
619366,4252,black magic
619366,33625,illegal prostitution
245859,6438,anorexia
245859,10323,psychiatric hospital
245859,33922,pop music
245859,160961,lifeguard
245844,1326,infidelity
245844,1566,dream
245844,9957,loneliness
245844,12436,architecture
245844,14768,single mother
245844,18314,internet porn
245844,164092,blindness
245844,170351,reality vs fantasy
245844,180340,voyeur
245844,192687,"oslo, norway"
245844,213833,blind woman
132518,6054,friendship
132518,158718,lgbt
132518,280003,girls love
394654,2210,climate change
394654,5769,global warming
394654,254028,climate breakdown
445063,4932,farm
445063,9789,misfit
445063,13017,drifter
445063,170356,outsider
445063,209242,gunplay
508018,2303,mathematician
508018,6733,bullying
508018,240237,mother son relationship
270856,187056,woman director
656822,395,gambling
656822,1930,kidnapping
656822,9748,revenge
656822,40879,drunk
656822,180314,diamond necklace
656822,281079,knife thrower
286873,5895,viking
286873,14643,battle
95068,2492,bank robber
95068,10051,heist
95068,15363,bank robbery
95068,207317,christmas
67539,1664,eroticism
67539,194708,camelia
45124,254,france
45124,3183,bisexuality
45124,2426,group sex
45124,6814,ibiza
45124,155262,threesome
45124,158718,lgbt
45124,168812,bisexual man
45124,178364,child custody
45124,193314,leather pants
45124,258533,gay theme
182937,9571,motor sport
245855,2122,death penalty
245855,1930,kidnapping
245855,5946,ethiopia
245855,18339,human rights
245855,170865,child kidnapping
24731,4948,retirement
24731,8015,cop
262250,8250,victorian england
262250,11514,social satire
262250,187056,woman director
262250,217140,double identity
262250,282428,financial fraud
549017,818,based on novel or book
445122,207876,1920s
445122,209817,political thriller
95084,190370,erotic movie
95084,207767,erotic thriller
270879,271,competition
270879,738,sexuality
270879,4378,striptease
270879,6593,stripper
270879,10968,lingerie
270879,14557,undressing
270879,14570,las vegas
270879,155857,strip tease
270879,157144,stockings
270879,157974,tease
270879,163070,burlesque
270879,170351,reality vs fantasy
270879,190178,sex worker
270879,208289,1980s
270879,211069,sex show
270879,231554,80s style
270879,265582,women empowerment
270879,281741,nudity
270879,291848,fishnets
270879,296946,objectification of woman
270879,319919,sexy woman
270879,320716,great legs
8736,3230,male friendship
8736,12392,best friend
8736,160246,childhood friends
286875,171486,paper airplane
270871,156212,spaghetti western
270871,209476,boxing
45127,428,nurse
45127,554,manager
45127,6157,prayer
45127,1909,coffin
45127,3508,underwear
45127,3177,fan
45127,5565,biography
45127,9673,love
45127,11001,religion
245896,4565,dystopia
245896,187056,woman director
245906,1326,infidelity
245906,242,new york city
245906,155457,screwball comedy
245906,156731,escort
245906,183133,aspiring actor
245906,190178,sex worker
24735,6148,court
24735,745,nun
24735,3356,quebec
24735,3363,hypnosis
24735,6719,"montreal, canada"
24735,10181,based on play or musical
24735,11038,trial
24735,12099,chain smoking
24735,15106,psychiatrist
24735,34124,mother superior
24735,165470,convent (nunnery)
24735,165492,novice
24735,199978,stigmata
24735,239819,dead baby
24735,239820,paternity mystery
394684,744,"madrid, spain"
