movie_id,title,url_wiki,lang.,revenue,revenue_wiki,revenue_mojo,ratio,revenue_delta,revenue_delta_2,revenue_synthetic,budget,budget_wiki,budget_delta,budget_synthetic,synthetic_ratio,revenue_fix,budget_fix,Status,reason
245692,The Search,https://en.wikipedia.org/wiki/The_Search_(2014_film),fr,0,600000,434957,0,0,1,434957,25000000,0,-1,25000000,0,,,,
37645,22 Bullets,https://en.wikipedia.org/wiki/22_Bullets,fr,0,21700000,21695883,0,0,1,21695883,24000000,20000000,0,24000000,1,,,,
19457,The Yards,https://en.wikipedia.org/wiki/The_Yards,en,0,924036,924036,0,0,1,924036,0,24000000,-1,24000000,0,,,,
441531,Shock Wave,https://en.wikipedia.org/wiki/Shock_Wave_(film),cn,0,68100000,58824459,0,0,1,58824459,23000000,23000000,0,23000000,3,,,Keep,
36568,Paulie,https://en.wikipedia.org/wiki/Paulie,en,0,26900000,26875268,0,0,1,26875268,0,23000000,-1,23000000,1,,,,
463197,Once Upon a Time,https://en.wikipedia.org/wiki/Once_Upon_a_Time_(2017_Chinese_film),zh,0,82800000,82886178,0,0,1,82886178,22000000,1364132,-1,22000000,4,,,,
11137,The Prince & Me,https://en.wikipedia.org/wiki/The_Prince_%26_Me,en,0,37600000,37666766,0,0,1,37666766,0,22000000,-1,22000000,2,,,,
38031,You Will Meet a Tall Dark Stranger,https://en.wikipedia.org/wiki/You_Will_Meet_a_Tall_Dark_Stranger,en,0,36000000,36015260,0,0,1,36015260,22000000,22000000,0,22000000,2,,,Keep,
38554,Dear God,https://en.wikipedia.org/wiki/Dear_God_(film),en,0,7138523,7138523,0,0,1,7138523,0,22000000,-1,22000000,0,,,,
34182,Confucius,https://en.wikipedia.org/wiki/Confucius_(2010_film),zh,0,18600000,4501039,0,1,1,4501039,22000000,0,-1,22000000,0,,,,
21775,The Stone Council,https://en.wikipedia.org/wiki/The_Stone_Council,en,0,2500000,2486909,0,0,1,2486909,22000000,26483050,0,22000000,0,,,,
14782,The Unsaid,https://en.wikipedia.org/wiki/The_Unsaid,en,0,2154571,2154571,0,0,1,2154571,0,22000000,-1,22000000,0,,,,
17795,My Fellow Americans,https://en.wikipedia.org/wiki/My_Fellow_Americans,en,0,22300000,22313201,0,0,1,22313201,21500000,21500000,0,21500000,1,,,Keep,
56415,A Gang Story,https://en.wikipedia.org/wiki/A_Gang_Story,fr,0,10100000,10249599,0,0,1,10249599,0,21500000,-1,21500000,0,,,,
496495,Sye Raa Narasimha Reddy,https://en.wikipedia.org/wiki/Sye_Raa_Narasimha_Reddy,te,0,34060022,682418,0,1,1,682418,0,21234429,-1,21234429,0,,,,
19659,Yamato,https://en.wikipedia.org/wiki/Yamato_(film),ja,0,43319769,39287114,0,0,1,39287114,0,21193624,-1,21193624,2,,,,
33996,Farewell,https://en.wikipedia.org/wiki/Farewell_(2009_film),fr,0,7400000,7406706,0,0,1,7406706,0,21000000,-1,21000000,0,,,,
18074,Duets,https://en.wikipedia.org/wiki/Duets_(film),en,0,6600000,6620242,0,0,1,6620242,0,21000000,-1,21000000,0,,,,
