keyword_id,movie_id
262826,17994
262826,15762
262826,1696
262826,15660
262826,26466
262826,1586
262826,141733
262826,16335
262826,26688
262826,29512
262826,341006
262826,12149
262826,284564
262826,43919
262826,11908
275694,344113
275694,127881
210638,296524
186117,114150
186117,18947
186117,1554
186117,301351
2998,12589
2998,801
171957,440471
9323,11521
9323,51876
9356,133441
9356,11678
234224,301337
251870,338967
13091,31811
244739,709
13152,10196
13152,417678
229893,266856
3126,9906
3126,9487
3126,140870
3126,9354
3126,8916
3126,9096
3126,363088
3126,102899
3126,493922
14759,278927
14759,1688
14759,119450
14759,869
14759,281338
14759,61791
230910,2698
230910,14161
14893,431361
14893,41971
14893,525025
14893,333360
14893,23210
14893,304357
14893,300
14893,306819
14893,13771
14893,5143
14893,9686
14893,1259
14893,11855
14893,12271
14893,44147
14893,359784
14893,472674
14893,340666
14893,27064
14893,263472
14893,425530
14893,451157
238706,34044
238706,18316
157145,89691
274966,12651
5155,13225
5155,928
5155,10496
5155,102780
5155,12560
5155,9273
3501,499536
3501,408185
3501,5552
3501,10342
3501,4964
18379,5559
18379,55306
18379,1633
18379,9708
622,39561
622,9919
622,9910
622,21972
622,449562
622,378200
622,9277
622,469
622,10903
622,341
622,301748
622,796
622,5
622,473033
10558,310135
163190,13600
163190,22825
163190,440342
263046,87827
263046,80274
15037,2742
41267,10776
41267,23730
992,422603
992,36759
992,6116
992,1402
992,49471
992,66599
992,31361
992,44754
992,1637
992,238636
992,458594
33885,576226
33885,244049
33885,260514
33885,920
33885,11451
33885,6499
33885,11870
33885,522924
33885,9714
33885,284279
33885,14475
33885,11950
33885,13223
33885,287948
33885,195590
33885,51497
33885,9615
33885,359724
33885,168259
33885,817
33885,4787
33885,136797
33885,8954
33885,818
33885,82992
33885,8859
33885,351145
33885,955
33885,339403
33885,4108
33885,9799
33885,1279
33885,584
33885,275
33885,285923
33885,333384
33885,408381
977,25353
977,5333
977,75491
977,20421
977,434221
977,9598
977,536869
977,22582
977,51739
977,322240
977,8920
977,10137
977,25797
977,270487
977,9513
977,401847
977,513386
977,86829
977,400928
977,10588
977,1597
977,39451
977,11956
977,57586
977,254905
977,340357
977,113947
977,404378
977,817
977,457955
977,249
977,9691
977,3980
977,10552
977,157433
977,10992
977,29514
167529,27581
591,23200
591,5333
591,9395
591,10923
591,17047
591,1597
591,693
591,40480
591,18070
591,9727
591,32074
591,9773
591,6538
591,337170
591,376453
591,9080
591,238713
591,38363
591,192102
591,296098
591,137094
591,820
591,14637
591,1535
591,11856
591,956
591,18828
591,11808
591,9331
591,1647
591,59965
591,11439
591,231
591,817
591,10905
591,1247
591,228967
591,68734
591,49538
591,10170
591,5146
591,954
591,9839
591,586
591,8834
591,302699
591,4614
591,76395
591,12239
591,429351
591,401981
591,302156
591,333669
591,955
591,39514
591,59961
591,9691
591,9509
591,454615
591,455957
591,47964
591,146216
591,97630
591,106021
591,28
591,11963
591,324668
591,138103
591,3132
591,347375
591,345887
591,9386
591,254904
591,27576
591,5125
591,300671
591,484641
591,297596
591,26389
591,273481
591,9415
591,27342
591,1428
591,24546
591,12542
591,46541
591,400535
159608,25719
159608,8012
159608,10743
159608,77949
8015,277470
8015,541768
8015,78847
8015,89501
8015,10173
8015,9846
8015,9874
8015,1573
8015,38558
8015,102632
8015,9395
8015,19384
8015,10660
8015,71142
8015,16867
8015,10952
8015,307663
8015,13804
8015,32077
8015,268920
8015,9384
8015,42571
8015,50022
8015,254473
8015,39939
8015,9282
8015,8409
8015,10723
8015,85889
8015,9544
8015,100544
8015,4911
8015,17134
8015,10128
8015,9625
8015,10396
8015,11018
8015,4982
8015,434555
8015,10433
8015,21338
8015,41283
8015,9569
8015,9074
5543,1406
5543,9907
5543,13700
5543,25195
5543,377799
5543,89440
5543,664
5543,296099
5543,8764
5543,9256
5543,9825
5543,25967
8793,10355
166096,21641
173388,356305
9862,330457
9862,10489
9862,110415
260101,341013
186281,134411
186281,82525
186281,412678
186281,144336
208805,34647
244029,16882
1718,277470
1718,20106
1718,10067
1718,38055
1718,9348
1718,329
1718,330
1718,9738
1718,782
1718,37707
1718,135397
1718,331
1718,1927
1718,300668
15162,154326
15162,11110
15162,80079
15162,80007
15162,471105
15162,24432
15162,337958
15162,26518
15162,10345
15162,66733
15162,44900
15162,1393
15162,21183
15162,110416
15162,9598
15162,263109
15162,522518
15162,328111
15162,21765
15162,370755
15162,10438
15162,17880
15162,28178
15162,381289
15162,10710
15162,10067
15162,14306
15162,333667
15162,11648
15162,508763
15162,82703
15162,11674
15162,10948
15162,3050
15162,14160
15162,47365
15162,26179
15162,39964
15162,16790
15162,8942
15162,12227
15162,522924
15162,11982
15162,477510
15162,9715
15162,11024
15162,9662
15162,17908
15162,66125
15162,9447
15162,9339
15162,10481
15162,39180
15162,478159
15162,24961
15162,495193
15162,121734
15162,10122
15162,74643
15162,23069
15162,2898
15162,533
15162,12233
15162,13791
15162,268725
15162,7210
15162,7547
15162,33586
15162,13785
15162,11004
15162,62214
15162,453354
15162,264644
15162,11228
15162,9941
15162,29004
15162,341
15162,245891
15162,31642
15162,47955
15162,157845
15162,249
15162,13200
15162,1598
15162,1927
15162,418078
15162,97630
15162,41651
15162,257345
15162,49763
15162,186929
15162,10127
15162,55
15162,10906
15162,924
15162,8810
15162,41759
15162,11494
15162,409617
15162,13855
15162,8461
15162,11544
15162,433694
15162,47939
15162,10992
15162,272878
15162,361191
203761,202616
203761,432139
159938,10461
156904,19585
4075,793
3400,430474
41609,11928
41609,14370
41609,55420
272331,5375
191185,109414
193193,57800
4484,14836
4484,902
4484,9030
4484,11454
3177,58882
3177,45127
3177,13532
3177,14746
3177,635
219391,127846
1812,34044
1812,20106
1812,392207
1812,11565
1812,5172
1812,10154
1812,16558
1812,168672
1812,640
1812,9600
1812,262
1812,12153
1812,41730
1812,136795
1812,433499
1812,663
1812,12395
1812,1727
1812,7551
1812,179
1812,860
1812,88794
1812,37233
1812,396371
1812,412988
1812,1988
1812,2109
1812,257088
1812,10040
1812,245703
1812,290751
