company_id,movie_id
288,512
290,512
291,512
7316,512
136057,512
476,768
14,1024
11,1024
294,1024
2306,1024
684,1280
685,1280
140,1280
13545,132352
13546,132352
1156,1792
1302,2048
415,2048
19355,2048
907,2048
19354,2048
1312,3072
77863,399360
34,399360
1632,335360
7225,335360
22826,335360
57031,335360
41756,8960
7295,8960
28064,8960
433,8960
675,8960
907,8960
34,8960
19354,9472
2932,9472
29566,402688
85761,402688
7543,402688
43,468224
22213,468224
7076,468224
7513,9728
16779,9728
769,10496
14714,76544
79,76544
22340,76544
7193,76544
1632,13056
8848,13056
11106,13056
11533,13056
33808,13056
6438,13056
2673,13312
16468,13312
6301,13312
2822,13824
132452,407296
49336,15616
6363,15616
813,15616
10405,15616
13807,15616
975,15616
13811,15616
13812,15616
1020,15616
3596,17152
7346,17408
110019,476416
60283,17920
22153,17920
8719,17920
3324,17920
2448,18176
829,18176
41,19200
5405,348672
11678,348672
20691,348672
25522,348672
94,348672
9266,22784
83925,421376
82648,421888
13240,487680
429,487680
11370,487680
15383,291328
2265,291328
10104,291328
13241,291328
32551,291328
86420,291328
86421,291328
86422,291328
86423,291328
41624,291328
15433,160768
729,160768
9015,160768
3383,37632
10204,300032
3164,301056
6733,301056
8090,301056
8091,301056
37455,301056
137269,499712
124662,499712
79,41216
8089,41216
9995,41216
17,41216
13184,505600
77152,505600
3965,51200
12682,51200
12683,51200
7036,51200
10104,121856
508,121856
862,121856
4615,121856
8870,121856
19108,121856
77845,121856
83857,121856
86766,121856
86767,121856
41624,121856
6755,56832
7092,56832
11720,56832
11721,56832
11722,56832
7093,56832
4330,56832
4331,56832
11723,56832
955,56832
11724,56832
2918,56832
882,56832
11725,56832
11726,56832
11727,56832
1444,123392
101846,388096
101847,388096
7570,388096
22223,60672
4753,60672
22224,60672
356,60672
6896,60672
5548,62976
2979,257
355,257
6732,257
71496,65793
777,65793
71497,65793
83,393729
46026,393729
8880,769
1382,1281
10163,1281
686,1281
6458,462593
97314,462593
97315,462593
97316,462593
40890,400385
117552,597505
746,8193
2339,8193
2340,8193
6196,8193
43,8193
10288,8961
34,8961
7480,9473
45852,9473
1538,9473
258,9473
805,9729
8,10497
355,10497
635,10497
8131,10497
591,273153
11773,273153
72104,273153
41,11521
2776,13569
7419,13825
2823,13825
10227,13825
11278,13825
133460,14337
3141,16129
164,16129
806,16129
11332,16129
14,19457
376,19457
3662,19713
34334,282113
33629,282113
4595,282113
24769,282113
487,282113
6242,282113
33214,282113
24023,282113
3557,20481
10210,20481
15709,20737
8515,285697
5333,24065
8000,554241
2348,554241
96540,554241
10221,554241
5371,554241
33389,423681
79143,423681
84487,423681
2061,293633
24277,293633
15127,168705
84701,431361
92049,432641
92050,432641
83090,45057
3324,45057
50460,45057
83091,45057
38616,46849
38617,46849
38618,46849
5113,46849
1607,46849
38619,46849
10282,48129
915,48129
5542,115969
4262,115969
76070,55297
76071,55297
7582,57089
31470,188161
27451,188161
8789,188161
2531,188161
19723,62721
107335,523777
82853,523777
11084,1538
11463,1538
7,1538
38775,68098
14,3586
16757,203778
16758,203778
10039,337154
93280,9730
16779,9730
7311,9986
69898,534530
538,11778
4298,15362
1992,15362
1212,15618
13085,15618
6125,82690
3460,18178
3461,18178
88966,215042
5815,21506
16833,24066
14,24066
93196,352002
62226,352002
925,25602
1020,25602
117800,29698
8237,97794
9961,36610
7956,36610
69898,495362
48862,105730
87544,105730
281,105730
87545,105730
965,40962
3268,40962
964,40962
15460,41730
15461,41730
16593,47874
4127,47874
11114,48130
59149,442370
25660,121602
37041,58882
235,255746
8680,521474
16701,521474
95063,196867
7291,196867
34,196867
907,196867
477,771
75999,394499
53105,394499
75997,394499
508,3587
1484,3587
30131,5123
7036,5123
2198,400387
8659,400387
60,8195
2347,8195
915,8963
10288,8963
136,9475
16779,9731
19142,206851
72146,206851
1302,11011
1885,11011
14,11523
71445,12547
4794,12547
5381,12547
12138,12547
14531,13059
1093,13059
192,13315
4813,13315
9222,13315
9177,13315
72226,603651
97292,342787
19999,342787
97293,342787
61548,408323
3172,539651
77845,16643
508,16643
1302,16643
10104,16643
1171,16643
81134,16643
41,17667
10163,18947
12196,18947
12197,18947
12198,18947
694,18947
711,20483
1757,20483
19352,20483
23790,20483
155,20483
33821,20995
10175,20995
40512,20995
76,20995
235,20995
2999,20995
1786,22787
694,22787
8582,22787
11715,22787
11576,22787
4253,22787
20572,22787
1353,33539
24791,33539
76848,361475
7281,361475
76846,361475
76847,361475
55015,34563
43,34563
1975,34563
444,34563
27128,36355
38181,36355
43,39939
2773,39939
37497,39939
52948,39939
106323,39939
27408,172803
11565,172803
24277,172803
34981,117251
34982,117251
347,117251
3353,314371
6265,314371
3616,57859
79498,57859
1249,320003
35050,61187
9175,61187
3,62211
60,65796
477,772
91767,460036
3451,460036
1069,4612
4794,4612
29018,4612
8582,4612
58399,267268
14532,267268
38786,267268
118966,267268
11317,8452
1423,9476
53008,9476
53007,9476
2773,9988
82819,75780
128585,75780
128586,75780
21777,75780
117362,75780
47122,10756
3538,10756
20042,11524
8989,11780
60,11780
53282,13572
53283,13572
824,13572
53284,13572
61770,473348
43,16388
139125,16644
5507,21252
729,93188
2376,359940
94694,359940
43,359940
6705,359940
559,33796
959,33796
16923,33796
275,33796
35002,34308
3244,34308
34999,34308
74662,34308
105936,45572
7036,45572
7269,47620
17697,47620
127888,47620
5630,577028
1877,447236
3405,56836
71379,320004
7792,320004
9335,320004
12010,320004
44554,320004
