movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb
47652,tt0865925,en,Off the Grid,2006-09-01 00:00:00+00:00,110,,218499.0,218499,,800000,,/lists/tt0865925,,86.0,7.5,0.0,0.0
127316,tt1017437,es,Gigantes de Valdés,2008-01-01 00:00:00+00:00,100,,84495.0,84495,,450000,,/lists/tt1017437,,75.0,6.8,0.0,0.0
80679,tt1217259,en,In/Significant Others,2010-05-14 00:00:00+00:00,100,3763.0,,3763,1408.0,100000,,/lists/tt1217259,,44.0,6.0,0.0,0.0
25149,tt0407814,en,Full Grown Men,2006-04-27 00:00:00+00:00,78,13716.0,,13716,3757.0,2000000,,https://www.metacritic.com/movie/full-grown-men?ftag=MCD-06-10aaa1c,47.0,310.0,4.9,0.0,0.0
212968,tt2276023,en,The United States of Autism,2013-04-05 00:00:00+00:00,93,100403.0,,100403,3413.0,65000,,/lists/tt2276023,,38.0,6.3,0.0,0.0
55748,tt0387701,fi,Ystäväni Henry,2004-08-20 00:00:00+00:00,93,,37487.0,37487,,2089810,,/lists/tt0387701,,162.0,6.5,0.0,0.0
223783,tt0831853,en,Footskating 101,2007-09-13 00:00:00+00:00,83,,29612.0,29612,,140106,,/lists/tt0831853,,59.0,6.1,0.0,0.0
213020,tt2402705,es,El efecto K: el montador de Stalin,2013-11-08 00:00:00+00:00,130,,340.0,340,,1007325,,/lists/tt2402705,,92.0,7.6,0.0,0.0
172528,tt2250134,th,สาระแน ห้าวเป้ง!!,2009-04-30 00:00:00+00:00,90,,2648133.0,2648133,,438000,,/lists/tt2250134,,23.0,5.8,0.0,0.0
194588,tt0420723,en,Short Cut to Nirvana: Kumbh Mela,2004-05-11 00:00:00+00:00,85,381225.0,116852.0,498077,3263.0,200000,,https://www.metacritic.com/movie/short-cut-to-nirvana-kumbh-mela?ftag=MCD-06-10aaa1c,55.0,142.0,7.2,0.0,0.0
147065,tt1827485,en,Of All the Things,2012-09-26 00:00:00+00:00,105,,542932.0,542932,,1191337,,/lists/tt1827485,,26.0,7.3,0.0,0.0
230718,tt4552110,pt,Hijab - Mulheres de véu,2013-09-06 00:00:00+00:00,78,,3706.0,3706,,4315,,,,,,0.0,0.0
198285,tt1373273,tr,Öldür Beni,2008-04-30 00:00:00+00:00,95,,19142.0,19142,,85470,,/lists/tt1373273,,252.0,5.0,0.0,0.0
55816,tt1489185,en,If I Die Tonight,2009-09-06 00:00:00+00:00,94,20214.0,,20214,9646.0,200000,,/lists/tt1489185,,49.0,6.5,0.0,0.0
123205,tt0962715,en,13 Months of Sunshine,2007-06-01 00:00:00+00:00,98,2337.0,,2337,2237.0,55000,,/lists/tt0962715,,31.0,7.7,0.0,0.0
226277,tt1669846,en,Vito Bonafacci,2011-05-06 00:00:00+00:00,97,9570.0,,9570,3027.0,150000,,/lists/tt1669846,,19.0,7.2,0.0,0.0
200259,tt2329674,bg,"Пистолет, куфар и 3 смърдящи варела",2012-09-12 00:00:00+00:00,98,,217794.0,217794,,38000,,/lists/tt2329674,,471.0,5.3,0.0,0.0
163188,tt0934964,cn,心想事成,2007-02-14 00:00:00+00:00,105,,1379416.0,1379416,,1279876,,/lists/tt0934964,,107.0,4.4,0.0,0.0
47752,tt0965429,it,L'imbroglio nel lenzuolo,2010-06-18 00:00:00+00:00,105,,492068.0,492068,,9897600,,/lists/tt0965429,,117.0,4.8,0.0,0.0
188698,tt2871768,es,El método Arrieta,2013-05-01 00:00:00+00:00,88,,4146.0,4146,,326,,/lists/tt2871768,,9.0,8.8,0.0,0.0
211137,tt0431155,en,Issues,2005-09-01 00:00:00+00:00,87,783.0,,783,783.0,50000,,/lists/tt0431155,,102.0,5.6,0.0,0.0
28149,tt0338294,en,Nowhere Man,2005-03-11 00:00:00+00:00,78,3105.0,,3105,173.0,250000,,https://www.metacritic.com/movie/nowhere-man?ftag=MCD-06-10aaa1c,41.0,205.0,3.7,0.0,0.0
198444,tt2336284,en,Blitz Patrollie,2012-07-27 00:00:00+00:00,101,,143190.0,143190,,1017993,,/lists/tt2336284,,106.0,5.5,0.0,0.0
176801,tt1456110,de,Vielleicht in einem anderen Leben,2011-01-21 00:00:00+00:00,90,,72902.0,72902,,1352100,,/lists/tt1456110,,63.0,6.6,0.0,0.0
226461,tt1918638,ar,قصة ثواني,2013-02-21 00:00:00+00:00,87,,94920.0,94920,,450000,,/lists/tt1918638,,137.0,6.7,0.0,0.0
