movie_id,genre_id
45054,10752
76758,10752
25,10752
49017,10752
28,10752
8880,10752
8881,10752
61623,10752
8883,10752
8885,10752
58602,10752
63074,10752
34066,10752
41508,10752
111237,10752
57212,10752
53128,10752
57218,10752
19495,10752
8963,10752
21345,10752
5902,10752
10313,10752
3536,10752
8988,10752
16072,10752
5937,10752
14574,10752
115432,10752
23592,10752
11541,10752
16121,10752
10368,10752
25388,10752
129477,10752
197,10752
58760,10752
3683,10752
103751,10752
205,10752
113464,10752
11589,10752
9075,10752
1880,10752
54669,10752
11600,10752
19664,10752
9093,10752
75674,10752
9104,10752
54698,10752
9255,10752
47904,10752
18063,10752
6172,10752
50601,10752
10479,10752
11658,10752
11661,10752
31094,10752
49322,10752
31101,10752
23908,10752
36389,10752
190859,10752
1966,10752
36401,10752
46738,10752
79777,10752
72913,10752
13405,10752
14808,10752
2016,10752
16328,10752
9361,10752
193173,10752
2024,10752
11778,10752
149870,10752
11780,10752
6415,10752
53457,10752
409,10752
2042,10752
423,10752
424,10752
77223,10752
10590,10752
10592,10752
37828,10752
72996,10752
13506,10752
13507,10752
121640,10752
14905,10752
121642,10752
154972,10752
46856,10752
13560,10752
46876,10752
10654,10752
9477,10752
10655,10752
57709,10752
11902,10752
41956,10752
46890,10752
48243,10752
24180,10752
32990,10752
74513,10752
10684,10752
86707,10752
10687,10752
4476,10752
16564,10752
20181,10752
18446,10752
13614,10752
145909,10752
10705,10752
84057,10752
121835,10752
215946,10752
11953,10752
2197,10752
600,10752
116019,10752
616,10752
10733,10752
9567,10752
625,10752
18516,10752
85434,10752
76099,10752
2253,10752
9595,10752
152760,10752
651,10752
12100,10752
155297,10752
676,10752
227306,10752
13752,10752
139319,10752
77573,10752
95963,10752
15192,10752
22267,10752
27461,10752
10821,10752
16869,10752
126304,10752
60923,10752
33258,10752
12162,10752
9664,10752
9665,10752
65060,10752
15267,10752
13813,10752
7445,10752
205596,10752
7446,10752
193756,10752
24458,10752
52511,10752
9703,10752
59424,10752
87022,10752
792,10752
98205,10752
39516,10752
801,10752
31642,10752
30302,10752
43418,10752
12246,10752
15379,10752
22452,10752
31657,10752
15384,10752
31668,10752
162215,10752
53923,10752
87077,10752
89156,10752
7862,10752
13922,10752
51200,10752
853,10752
45953,10752
855,10752
857,10752
76349,10752
52616,10752
2604,10752
8007,10752
12412,10752
203793,10752
18886,10752
9839,10752
62630,10752
94047,10752
12477,10752
24671,10752
195834,10752
62673,10752
12503,10752
199615,10752
79071,10752
41141,10752
20713,10752
8266,10752
9922,10752
46106,10752
14097,10752
15616,10752
2841,10752
174120,10752
73682,10752
9952,10752
225728,10752
9967,10752
12581,10752
8349,10752
30606,10752
1251,10752
17360,10752
14171,10752
14175,10752
1271,10752
10015,10752
89584,10752
5491,10752
1368,10752
1369,10752
1370,10752
12651,10752
10047,10752
12660,10752
26522,10752
12663,10752
19155,10752
22971,10752
22972,10752
72431,10752
1417,10752
12701,10752
228150,10752
8619,10752
35939,10752
15813,10752
184374,10752
25014,10752
8665,10752
10105,10752
10110,10752
12764,10752
27957,10752
271674,10752
1495,10752
8738,10752
8741,10752
3097,10752
41411,10752
10142,10752
283708,10752
26651,10752
369885,10752
281338,10752
282631,10752
244039,10752
289930,10752
346684,10752
362045,10752
293767,10752
383585,10752
339259,10752
315839,10752
293982,10752
379880,10752
335556,10752
256917,10752
335578,10752
256962,10752
238628,10752
363841,10752
316152,10752
377447,10752
390441,10752
345934,10752
352720,10752
394223,10752
337115,10752
340945,10752
333352,10752
279641,10752
374720,10752
300671,10752
400728,10752
255905,10752
362820,10752
326011,10752
360288,10752
301932,10752
324786,10752
348660,10752
289418,10752
403390,10752
332270,10752
263855,10752
350555,10752
321303,10752
283587,10752
282376,10752
347629,10752
253414,10752
340101,10752
452557,10752
433082,10752
460555,10752
472553,10752
569106,10752
508664,10752
430424,10752
535389,10752
408323,10752
430521,10752
433356,10752
484936,10752
456711,10752
515001,10752
517517,10752
429351,10752
408483,10752
430727,10752
408539,10752
545393,10752
438799,10752
415214,10752
433694,10752
485296,10752
407518,10752
511619,10752
524377,10752
530915,10752
467952,10752
440298,10752
496324,10752
437848,10752
506863,10752
542921,10752
427342,10752
514407,10752
410366,10752
559957,10752
468224,10752
489763,10752
406449,10752
554600,10752
522162,10752
550519,10752
441881,10752
475094,10752
513343,10752
530087,10752
505954,10752
499468,10752
605374,10752
613538,10752
595108,10752
10195,12
151474,12
10196,12
8844,12
172391,12
32147,12
50289,12
140300,12
10199,12
25114,12
72545,12
71080,12
14400,12
21183,12
10204,12
8850,12
14405,12
8854,12
11,12
47652,12
15927,12
23305,12
8860,12
14411,12
72559,12
10214,12
11398,12
1634,12
202214,12
1635,12
76757,12
18,12
49009,12
1637,12
1639,12
