Unnamed: 0,url,movie_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error,box_office_min,release_date,budget_avg_usd,budget_avg_usd_rate,box_office_avg_usd,box_office_avg_usd_rate
3986,https://en.wikipedia.org/wiki/A_Perfect_Murder,1965,$60 million,USD,60000000.0,60000000.0,60000000.0,,$128 million,USD,128000000.0,128000000.0,128000000.0,,{},,,1998-06-01,60000000.0,1.0,128000000.0,1.0
24597,https://en.wikipedia.org/wiki/Alexander_(2004_film),1966,$155 million[3],USD,155000000.0,155000000.0,155000000.0,,$167.3 million[3],USD,167300000.0,167300000.0,167300000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0346491/', 'AllMovie': 'https://www.allmovie.com/movie/v288641', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/459253/enwp', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/62963', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=alexander.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/alexander_revisited_final_cut', 'Archived': 'https://www.rottentomatoes.com/m/alexander_the_ultimate_cut_2014', 'Metacritic': 'https://www.metacritic.com/movie/alexander'}",,,2004-11-01,155000000.0,1.0,167300000.0,1.0
22150,https://en.wikipedia.org/wiki/Ask_the_Dust_(film),1967,,,,,,,$2.5 million,USD,2500000.0,2500000.0,2500000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0384814/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/ask_the_dust', 'Metacritic': 'https://www.metacritic.com/movie/ask-the-dust', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=askthedust.htm', 'AllMovie': 'https://www.allmovie.com/movie/v306119'}",,,2006-02-01,,,2500000.0,1.0
2950,https://en.wikipedia.org/wiki/Fools_Rush_In_(1997_film),1968,$20 million,USD,20000000.0,20000000.0,20000000.0,,$42 million,USD,42000000.0,42000000.0,42000000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0119141/', 'AllMovie': 'https://www.allmovie.com/movie/v154626'}",,,1997-02-01,20000000.0,1.0,42000000.0,1.0
2374,https://en.wikipedia.org/wiki/Bandidas,1969,$35 million,USD,35000000.0,35000000.0,35000000.0,,$18.4 million,USD,18400000.0,18400000.0,18400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0416496/', 'AllMovie': 'https://www.allmovie.com/movie/v316344', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=bandidas.htm'}",,,2006-01-01,35000000.0,1.0,18400000.0,1.0
10509,https://en.wikipedia.org/wiki/The_Grudge,1970,$10 million[2],USD,10000000.0,10000000.0,10000000.0,,$187.3 million[2],USD,187300000.0,187300000.0,187300000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0391198/', 'AllMovie': 'https://www.allmovie.com/movie/v301035'}",,,2004-10-01,10000000.0,1.0,187300000.0,1.0
21841,https://en.wikipedia.org/wiki/The_Grudge_2,1975,$20 million[2],USD,20000000.0,20000000.0,20000000.0,,$70.7 million[3],USD,70700000.0,70700000.0,70700000.0,,"{'Official website': 'https://web.archive.org/web/20080913131306/http://www.sonypictures.com/homevideo/thegrudge2/', 'Archived': 'http://www.scifijapan.com/articles/2007/02/05/the-grudge-2-production-notes/', 'AllMovie': 'https://www.allmovie.com/movie/v325767', 'IMDb': 'https://www.imdb.com/title/tt0433386/'}",,,2006-10-01,20000000.0,1.0,70700000.0,1.0
33112,https://en.wikipedia.org/wiki/The_Grudge_3,1977,,,,,,,$1.9 million[2],USD,1900000.0,1900000.0,1900000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1053859/', 'AllMovie': 'https://www.allmovie.com/movie/v422211', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/grudge_3'}",,,2009-05-01,,,1900000.0,1.0
16589,https://en.wikipedia.org/wiki/Fantastic_Four:_Rise_of_the_Silver_Surfer,1979,$120–130 million[2][3],USD,120.0,130000000.0,65000060.0,,$301.9 million[2],USD,301900000.0,301900000.0,301900000.0,,"{'Official website': 'https://family.20thcenturystudios.com/movies/fantastic-four-rise-of-the-silver-surfer', 'AllMovie': 'https://www.allmovie.com/movie/v346942', 'IMDb': 'https://www.imdb.com/title/tt0486576/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer', 'Metacritic': 'https://www.metacritic.com/movie/fantastic-four-rise-of-the-silver-surfer', 'Fantastic Four: Rise of the Silver SurferProduction Notes': 'http://madeinatlantis.com/movies_central/2007/fantastic_four.htm', 'Superhero Hype: FF': 'https://web.archive.org/web/20080121093720/http://www.superherohype.com/ff/'}",,,2007-06-01,65000060.0,1.0,301900000.0,1.0
18678,https://en.wikipedia.org/wiki/The_Constant_Gardener_(film),1985,$25 million[1],USD,25000000.0,25000000.0,25000000.0,,$82.4 million[1],USD,82400000.0,82400000.0,82400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0387131/', 'AllMovie': 'https://www.allmovie.com/movie/v307614', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/constant_gardener', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=constantgardener.htm'}",,,2005-08-01,25000000.0,1.0,82400000.0,1.0
