url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box_office_min,box_office_max,box_office_avg,box_office_error,external_links,error
https://en.wikipedia.org/wiki/A_Place_at_the_Table,84198,,,,,,,"$231,378[1]",USD,231378.0,231378.0,231378.0,,"{'Official website': 'http://takepart.com/table', 'IMDb': 'https://www.imdb.com/title/tt1736049/', 'Participant Media': 'https://web.archive.org/web/20130128193752/http://www.participantmedia.com/pm-films/a-place-at-the-table/', 'Magnolia Pictures': 'http://www.magpictures.com/profile.aspx?id=e016f484-4c9a-4401-8fbc-e19eb2119389'}",
https://en.wikipedia.org/wiki/Branchie,58662,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0184302/'},
https://en.wikipedia.org/wiki/The_Invitation_(1973_film),109815,,,,,,,$1.5 million[1],USD,1500000.0,1500000.0,1500000.0,,{'IMDb': 'https://www.imdb.com/title/tt0070224/'},
https://en.wikipedia.org/wiki/The_Monkey%27s_Mask,47574,,,,,,,"$45,826 (USA sub-total)A$150,177 (Australia)[1]",AUD,45826.0,150177.0,98001.5,,"{""The Monkey's Mask"": 'https://www.ozmovies.com.au/movie/monkeys-mask', 'IMDb': 'https://www.imdb.com/title/tt0259442/', 'AllMovie': 'https://www.allmovie.com/movie/v220922'}",
https://en.wikipedia.org/wiki/Late_Night_Shopping,18088,,,,,,,"$152,000 (United Kingdom)[1]",USD,152000.0,152000.0,152000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0250491/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1136907-late_night_shopping'}",
https://en.wikipedia.org/wiki/Evangeline_(2013_film),225048,,,,,,,,,,,,,"{'Evangelineofficial Facebook page': 'https://www.facebook.com/evangelinemovie', 'IMDb': 'https://www.imdb.com/title/tt2649680/'}",
https://en.wikipedia.org/wiki/Orion%27s_Belt_(film),27817,15 million kr,SEK,,,,,14.1 million kr,SEK,,,,,{},
https://en.wikipedia.org/wiki/Ailsa_(film),157781,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0109064/'},
https://en.wikipedia.org/wiki/My_Mom%27s_New_Boyfriend,9262,$25 million [1],USD,25000000.0,25000000.0,25000000.0,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0780534/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/my_moms_new_boyfriend'}",
https://en.wikipedia.org/wiki/Thanneer_Mathan_Dinangal,618435,₹2 crore[3][4],INR,20000000.0,20000000.0,20000000.0,,₹50 crore,INR,500000000.0,500000000.0,500000000.0,,{},
https://en.wikipedia.org/wiki/The_Cat_(2011_film),75931,,,,,,,,,,,,,"{'Korean Movie Database': 'https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/12730', 'IMDb': 'https://www.imdb.com/title/tt1935094/', 'HanCinema': 'https://www.hancinema.net/korean_movie_The_Cat.php'}",
https://en.wikipedia.org/wiki/The_Birth_of_New_China,318622,,,,,,,¥100 million,JPY,100000000.0,100000000.0,100000000.0,,{'IMDb': 'https://www.imdb.com/title/tt1220564/'},
https://en.wikipedia.org/wiki/The_Salon_(film),51820,$1.5 million[1],USD,1500000.0,1500000.0,1500000.0,,"$139,084[1]",USD,139084.0,139084.0,139084.0,,"{'AllMovie': 'https://www.allmovie.com/movie/v319593', 'IMDb': 'https://www.imdb.com/title/tt0436742/'}",
https://en.wikipedia.org/wiki/Su-ki-da,59273,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Necessary_Love,203973,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Beast_Within_(film),40219,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Onibi_(film),185110,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Straight_for_the_Heart,162810,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Jakob_the_Liar,2290,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Remo_(film),402778,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Smokey_Bites_the_Dust,62880,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Patience_Stone_(film),128158,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Mad_Buddies,113145,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Behind_the_Sun_(film),36093,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Getting_Even_with_Dad,41579,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Sea_of_Shadows,566219,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Life_(2015_film),300153,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/American_Blackout,22906,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/A_Small_Circle_of_Friends,104659,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Chasing_3000,51597,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Bulletproof_Heart_(film),85247,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Rules_of_Dating,114661,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Shut_In_(2016_film),329981,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/American_Driver,858185,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/More_American_Graffiti,33258,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Long_Weekend,19109,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/S.A.S._%C3%A0_San_Salvador,167642,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/I_Spit_on_Your_Corpse,29414,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Ante_Up_(film),197364,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/My_Flesh_and_Blood,22289,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/A_Sinner_in_Mecca,336972,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Night_and_Fog_in_Zona,362639,,,,,,,,,,,,,"{'HanCinema': 'https://www.hancinema.net/korean_movie_Night_and_Fog_In_Zona.php', 'Korean Movie Database': 'https://www.kmdb.or.kr/eng/db/kor/detail/movie/A/06401', 'IMDb': 'https://www.imdb.com/title/tt4975622/'}",
https://en.wikipedia.org/wiki/Zanahoria,293272,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_White_Silk_Dress,68401,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Last_Wave,72277,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Panther_(film),41478,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Candlestick_(film),150188,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Marriage_Revolution,535800,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Princess_of_Montpensier,57695,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Bombay_Beach_(film),83732,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Paul_and_Michelle,4155,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0071978/', 'AllMovie': 'https://www.allmovie.com/movie/v37468', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/86390/enwp'}",
https://en.wikipedia.org/wiki/What_to_Do_in_Case_of_Fire%3F,5261,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Copperman_(film),568165,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Dead_or_Alive_2:_Birds,13899,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Emile%27s_Boat,41507,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/What_Happens_in_Vegas,9029,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Evil_Aliens,10177,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Keaton%27s_Cop,103605,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Altergeist,279998,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Year_of_Enlightment,104089,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/10_to_11,50129,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Eye_of_the_Day,79608,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Summer_of_Flying_Fish,191719,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Choke_Canyon,91221,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/25_Degrees_in_Winter,79346,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Welcome_to_L.A.,86241,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Fatal_Charm_(1990_film),182497,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Cuckoo_(2009_film),62049,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/My_First_Forty_Years,239416,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Girl_of_Your_Dreams,67297,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Letter_to_the_King,250214,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/After_Five_in_the_Forest_Primeval,4285,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Olsen_Gang%27s_Last_Trick,12549,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Switching_(film),683549,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/It%27s_Pat,33783,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Ajith_(film),323488,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt3721272/'},
https://en.wikipedia.org/wiki/R%C3%A9jeanne_Padovani,208153,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Cross_(1987_film),255435,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Modern_Problems,16471,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Behind_The_Cove,418685,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Sentenced_to_Death,263350,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Anegan,262973,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Greenkeeping,271189,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Eu_N%C3%A3o_Fa%C3%A7o_a_Menor_Ideia_do_que_eu_T%C3%B4_Fazendo_Com_a_Minha_Vida,228198,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Touch_(1971_film),105254,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Sleepaway_Camp_III:_Teenage_Wasteland,34312,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Gunmen_(1988_film),173137,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Consuming_Spirits,130445,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Little_Dead_Rotting_Hood,376311,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Mission_(1999_film),45871,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Tatsumi_(film),83114,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Judy_and_Punch,506554,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Young_Goethe_in_Love,52475,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Witnesses_(2018_film),530177,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/36_Deadly_Styles,40367,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/When_She_Jumped,424571,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/See_What_I%27m_Saying:_The_Deaf_Entertainers_Documentary,96108,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Train_Driver%27s_Diary,404757,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Cuatro_p%C3%ADcaros_bomberos,686219,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Kotoko_(film),85032,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Lost_Souls_(2000_film),10383,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Domestik,533919,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Aileen_Wuornos:_The_Selling_of_a_Serial_Killer,97044,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Kandagar,34586,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Living_with_Michael_Jackson,106006,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Bingo:_The_King_of_the_Mornings,429210,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/What_We_Become_(film),356326,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/National_Lampoon%27s_Adam_%26_Eve,53928,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Taking_Father_Home,208414,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Being_Evel,317655,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Temporada_de_patos,34207,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Hwa-Om-Kyung,257733,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Anandam,80834,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Offside_(2006_Swedish_film),52967,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/The_Robbery_of_the_Third_Reich,33611,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Road_to_Ruin_(1991_film),223180,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Three_Summers_(2019_film),622971,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Not_My_Day,242661,,,,,,,,,,,,,{},Failed to fetch content
https://en.wikipedia.org/wiki/Into_the_Labyrinth_(film),602545,,,,,,,,,,,,,{},Failed to fetch content
