,url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error,box_office_min
30900,https://en.wikipedia.org/wiki/Boy_Culture,15728,,,,,,,"$220,409[1]",USD,220409.0,220409.0,220409.0,,"{'IMDb': 'https://www.imdb.com/title/tt0433350/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=boyculture.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/boy_culture', 'Metacritic': 'https://www.metacritic.com/movie/boy-culture'}",,
15838,https://en.wikipedia.org/wiki/Cover_Boy,15729,,,,,,,,,,,,,{},,
22659,https://en.wikipedia.org/wiki/Love_and_Human_Remains,15730,,,,,,,,,,,,,"{'AllMovie': 'https://www.allmovie.com/movie/v148444', 'IMDb': 'https://www.imdb.com/title/tt0107447/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/love_and_human_remains', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=loveandhumanremains.htm'}",,
43268,https://en.wikipedia.org/wiki/Libera_(film),15732,,,,,,,,,,,,,{},Failed to fetch content,
38024,https://en.wikipedia.org/wiki/Adored_(film),15737,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0357031/'},,
3959,https://en.wikipedia.org/wiki/Annie_(1982_film),15739,$35 million[2],USD,35000000.0,35000000.0,35000000.0,,$57.1 million[3],USD,57100000.0,57100000.0,57100000.0,,{},,
10932,https://en.wikipedia.org/wiki/Dorothy_Mills,15741,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt1034306/'},,
18265,https://en.wikipedia.org/wiki/Taxidermia,15742,HUF 500 million[2](US$2.4 million),HUF,500000000.0,500000000.0,500000000.0,,"$11,408 (US)[3]",USD,11408.0,11408.0,11408.0,,"{'Official website': 'http://www.taxidermia.hu/indexen.htm', 'IMDb': 'https://www.imdb.com/title/tt0410730/', 'AllMovie': 'https://www.allmovie.com/movie/v343368', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=taxidermia.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/taxidermia', 'Metacritic': 'https://www.metacritic.com/movie/taxidermia'}",,
19781,https://en.wikipedia.org/wiki/Made_(2001_film),15745,$5 million,USD,5000000.0,5000000.0,5000000.0,,$5.5 million[2],USD,5500000.0,5500000.0,5500000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0227005/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=made.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/made'}",,
28724,https://en.wikipedia.org/wiki/While_She_Was_Out,15749,,,,,,,,,,,,,{},Failed to fetch content,
2478,https://en.wikipedia.org/wiki/Company_(2002_film),15761,₹9.5 crore[1],INR,95000000.0,95000000.0,95000000.0,,₹25.02 crore[1],INR,250200000.0,250200000.0,250200000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0296574/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1153799_company'}",,
33400,https://en.wikipedia.org/wiki/Night_of_the_Creeps,15762,,,,,,,"$591,366 (US)[1]",USD,591366.0,591366.0,591366.0,,"{'IMDb': 'https://www.imdb.com/title/tt0091630/', 'AllMovie': 'https://www.allmovie.com/movie/v35290', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/night_of_the_creeps', 'Night of the Creepsinterview at FEARnet': 'http://www.fearnet.com/videos/b16256_night_of_creeps_fred_dekker.html', ""A look at the film's original ending, including images"": 'http://www.pulsingcinema.com/feature/notcending/'}",,
2944,https://en.wikipedia.org/wiki/Sophie%27s_Choice_(film),15764,$9 million[3],USD,9000000.0,9000000.0,9000000.0,,$30 million[4],USD,30000000.0,30000000.0,30000000.0,,"{'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/55227', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=sophieschoice.htm', 'IMDb': 'https://www.imdb.com/title/tt0084707/', 'AllMovie': 'https://www.allmovie.com/movie/v55227', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/20346/enwp'}",,
3576,https://en.wikipedia.org/wiki/What%27s_Love_Got_to_Do_with_It_(1993_film),15765,$15 million[2],USD,15000000.0,15000000.0,15000000.0,,$61 million[3],USD,61000000.0,61000000.0,61000000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0108551/', 'AllMovie': 'https://www.allmovie.com/movie/v54082', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/whats_love_got_to_do_with_it', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=whatslovegottodowithit.htm', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/59707'}",,
1230,https://en.wikipedia.org/wiki/Born_to_Defence,15770,,,,,,,US$24.5 million  (China & Hong Kong),USD,24500000.0,24500000.0,24500000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0096507/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/born_to_defense'}",,
34306,https://en.wikipedia.org/wiki/Class_Action_(film),15771,,,,,,,"$28,277,918[1]",USD,28277918.0,28277918.0,28277918.0,,"{'IMDb': 'https://www.imdb.com/title/tt0101590/', 'AllMovie': 'https://www.allmovie.com/movie/v9818', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/22193/enwp', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/58802', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=classaction.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1034008-class_action', 'Metacritic': 'https://www.metacritic.com/movie/class-action', ""Interview with Producer Robert Cort and writers Carolyn Shelby and Christopher Ames on the film's 20th anniversary"": 'http://www.abnormaluse.com/2011/03/abnormal-interviews-robert-w-cort.html'}",,
45028,https://en.wikipedia.org/wiki/Guru_(2007_film),15772,₹22 crore[2],INR,220000000.0,220000000.0,220000000.0,,₹83.67 crore[2],INR,,836700000.0,836700000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0499375/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=guru07.htm'}",,836700000.0
53709,https://en.wikipedia.org/wiki/All_the_Rage_(1997_film),15773,100000,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0118590/', 'AllMovie': 'https://www.allmovie.com/movie/v156913'}",,
35620,https://en.wikipedia.org/wiki/Swades,15774,₹25 crore[1],INR,250000000.0,250000000.0,250000000.0,,est. ₹34.64 crore[2],INR,346400000.0,346400000.0,346400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0367110/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/swades', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=swades.htm', 'Official site': 'http://www.swades.com'}",,
52766,https://en.wikipedia.org/wiki/If_Only_(2004_film),15775,$3 million,USD,3000000.0,3000000.0,3000000.0,,"$532,673[1]",USD,,532673.0,532673.0,,"{'IMDb': 'https://www.imdb.com/title/tt0332136/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1159665_if_only'}",,532673.0
14616,https://en.wikipedia.org/wiki/The_Art_of_Crying,15776,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0495040/', 'The Danish Film Institute (In Danish)': 'http://dnfx.dfi.dk/pls/dnf/pwt.page_setup?p_pagename=dnffuldvis&p_parmlist=filmid=49531', 'AllMovie': 'https://www.allmovie.com/movie/v358944'}",,
15326,https://en.wikipedia.org/wiki/Crying_for_Love,15777,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt1221129/'},,
20663,https://en.wikipedia.org/wiki/Cherry_2000,15785,$10 million[2],USD,10000000.0,10000000.0,10000000.0,,"$14,000",USD,14000.0,14000.0,14000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0092746/', 'AllMovie': 'https://www.allmovie.com/movie/v9110', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/cherry_2000', 'Turner Classic Movies': 'https://www.tcm.com/tcmdb/title/70756/cherry-2000#overview'}",,
41776,https://en.wikipedia.org/wiki/Diamond_Dogs_(film),15791,,,,,,,,,,,,,{},Failed to fetch content,
4492,https://en.wikipedia.org/wiki/Only_the_Strong_(film),15797,"$6,000,000 (US)",USD,6000000.0,6000000.0,6000000.0,,"$3,273,588 (US)[1]",USD,3273588.0,3273588.0,3273588.0,,"{'IMDb': 'https://www.imdb.com/title/tt0107750/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/only_the_strong', 'Box Office Mojo': 'http://www.boxofficemojo.com/movies/?id=onlythestrong.htm'}",,
49827,https://en.wikipedia.org/wiki/Trekkies_(film),15800,"$375,000 (estimated)",USD,375000.0,375000.0,375000.0,,,,,,,,"{'permanent dead link': 'http://www.trekdoc.com', 'IMDb': 'https://www.imdb.com/title/tt0120370/', 'AllMovie': 'https://www.allmovie.com/movie/v160036', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/trekkies', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=trekkies.htm', 'Memory Alpha': 'https://memory-alpha.fandom.com/wiki/Trekkies', 'Interview conducted by Slashdot with Roger Nygard': 'http://interviews.slashdot.org/article.pl?sid=04/11/18/1748226'}",,
27524,https://en.wikipedia.org/wiki/What_Doesn%27t_Kill_You_(film),15801,,,,,,,,,,,,,{},Failed to fetch content,
7453,https://en.wikipedia.org/wiki/Tokyo_Decadence,15802,,,,,,,"$277,845[1]",USD,277845.0,277845.0,277845.0,,{'IMDb': 'https://www.imdb.com/title/tt0105622/'},,
31183,https://en.wikipedia.org/wiki/A_Brighter_Summer_Day,15804,,,,,,,,,,,,,{},Failed to fetch content,
25620,https://en.wikipedia.org/wiki/Splinter_(2006_film),15806,,,,,,,"$12,918[1]",USD,12918.0,12918.0,12918.0,,{'IMDb': 'https://www.imdb.com/title/tt0429115/'},,
4698,https://en.wikipedia.org/wiki/Green_Street_2:_Stand_Your_Ground,15809,$1 million,USD,1000000.0,1000000.0,1000000.0,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt1300853/'},,
48781,https://en.wikipedia.org/wiki/Dark_Blue_World,15813,€ 8 million,EUR,8000000.0,8000000.0,8000000.0,,"$2,300,000 (Worldwide)",USD,,2300000.0,2300000.0,,"{'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/453442/enwp', 'IMDb': 'https://www.imdb.com/title/tt0244479/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/dark_blue_world', 'AllMovie': 'https://www.allmovie.com/movie/v248945', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=darkblueworld.htm'}",,2300000.0
28768,https://en.wikipedia.org/wiki/We_Are_the_Champions_(film),15819,,,,,,,,,,,,,{},Failed to fetch content,
41274,https://en.wikipedia.org/wiki/AFR_(film),15820,,,,,,,,,,,,,{},Failed to fetch content,
24704,https://en.wikipedia.org/wiki/Ambulance_(2005_film),15821,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0400156/'},,
17260,https://en.wikipedia.org/wiki/Accused_(2005_film),15822,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0388727/'},,
42205,https://en.wikipedia.org/wiki/The_Inheritance_(2003_film),15824,,,,,,,,,,,,,{},Failed to fetch content,
38147,https://en.wikipedia.org/wiki/One-Hand_Clapping,15825,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0289076/', 'Danish Film Database': 'https://www.dfi.dk/en/viden-om-film/filmdatabasen/film/31754'}",,
41888,https://en.wikipedia.org/wiki/Cortex_(film),15827,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0996925/'},,
27054,https://en.wikipedia.org/wiki/The_Bench_(2000_film),15830,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0245027/', 'Danish Film Database': 'https://www.dfi.dk/en/viden-om-film/filmdatabasen/film/30731'}",,
28902,https://en.wikipedia.org/wiki/Cecilie_(film),15831,,,,,,,,,,,,,{},Failed to fetch content,
13232,https://en.wikipedia.org/wiki/Let%27s_Dance_(2007_film),15833,$5.6 million[1],USD,5600000.0,5600000.0,5600000.0,,$3.1 million,USD,3100000.0,3100000.0,3100000.0,,{'IMDb': 'https://www.imdb.com/title/tt0864691/'},,
40722,https://en.wikipedia.org/wiki/Fear_Me_Not,15834,,,,,,,,,,,,,{},Failed to fetch content,
12158,https://en.wikipedia.org/wiki/The_Last_Viking_(film),15835,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0117645/', 'Den Sidste Viking (1997)': 'https://www.moviemeter.nl/film/42352', 'Den sidste viking': 'https://blockbuster.dk/film/den-sidste-viking'}",,
37746,https://en.wikipedia.org/wiki/What_No_One_Knows,15837,,,,,,,,,,,,,"{'Danish Film Database': 'https://www.dfi.dk/en/viden-om-film/filmdatabasen/film/55141', 'What No One Knows': 'https://www.danskefilm.dk/film.php?id=1220', 'IMDb': 'https://www.imdb.com/title/tt0965411/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/det-som-ingen-ved-what-no-one-knows'}",,
24331,https://en.wikipedia.org/wiki/Manslaughter_(2005_film),15840,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0424971/'},,
29064,https://en.wikipedia.org/wiki/Kira%27s_Reason:_A_Love_Story,15842,,,,,,,,,,,,,{},Failed to fetch content,
34126,https://en.wikipedia.org/wiki/Echo_(2007_film),15843,,,,,,,,,,,,,"{'IMDb profile': 'https://www.imdb.com/title/tt0838224/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/echo2007'}",,
44764,https://en.wikipedia.org/wiki/A_Man_Comes_Home,15844,400.000 US$ (estimated),USD,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0951288/'},,
27273,https://en.wikipedia.org/wiki/A_Soap,15845,,,,,,,,,,,,,{},Failed to fetch content,
37125,https://en.wikipedia.org/wiki/The_Burrowers,15846,"$7,000,000 (estimated)",USD,7000000.0,7000000.0,7000000.0,,,,,,,,"{'AllMovie': 'https://www.allmovie.com/movie/v410723', 'IMDb': 'https://www.imdb.com/title/tt0445939/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/10008613_burrowers?'}",,
36031,https://en.wikipedia.org/wiki/The_Trip_(2002_film),15850,,,,,,,"$306,567[1]",USD,306567.0,306567.0,306567.0,,"{'Official website': 'http://www.tlareleasing.com/details/product_details.cfm?id=187809&v=11', 'IMDb': 'https://www.imdb.com/title/tt0250067/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/the_trip_2003'}",,
6325,https://en.wikipedia.org/wiki/Death_to_the_Supermodels,15851,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0379754/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/death_to_the_supermodels'}",,
37785,https://en.wikipedia.org/wiki/A_Moment_to_Remember,15859,,,,,,,US$20.9 million[1],USD,20900000.0,20900000.0,20900000.0,,"{'Official website': 'https://web.archive.org/web/20090203160910/http://jeewoogae.co.kr:80/', 'IMDb': 'https://www.imdb.com/title/tt0428870/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/nae_meorisokui_jiwoogae_a_moment_to_remember', 'HanCinema': 'https://www.hancinema.net/korean_movie_A_Moment_to_Remember.php'}",,
11917,https://en.wikipedia.org/wiki/Dragon_Tiger_Gate,15860,,,,,,,"HK $12,108,465",USD,12108465.0,12108465.0,12108465.0,,"{'IMDb': 'https://www.imdb.com/title/tt0482930/', 'AllMovie': 'https://www.allmovie.com/movie/v348003', 'Hong Kong Movie Database': 'http://hkmdb.com/db/movies/view.mhtml?id=11045&display_set=eng', 'Dragon Tiger Gate': 'https://web.archive.org/web/20171027024347/http://www.loveasianfilm.com/features/dragontigergate_feature.html', 'Dragon Tiger Gateplot synopsis on donnieyen.com': 'https://web.archive.org/web/20060717164348/http://www.donnieyen.com/films/2006_dragontigergate.htm'}",,
56269,https://en.wikipedia.org/wiki/Bachna_Ae_Haseeno,15864,₹23 crore[1],INR,230000000.0,230000000.0,230000000.0,,₹61.57 crore[1],INR,,615700000.0,615700000.0,,"{'Official website': 'http://www.yashrajfilms.com/microsites/bah/bah.html', 'IMDb': 'https://www.imdb.com/title/tt1182972/', 'Bachna Ae Haseenoon Indiafm.com': 'http://www.indiafm.com/movies/cast/13633/index.html'}",,615700000.0
18360,https://en.wikipedia.org/wiki/La_zona_(film),15865,,,,,,,$2.8 million[2],USD,2800000.0,2800000.0,2800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1039652/', 'Rotten Tomatoes': 'http://www.rottentomatoes.com/m/la_zona/'}",,
31949,https://en.wikipedia.org/wiki/Interiors,15867,$3.1 million[2][3],USD,3100000.0,3100000.0,3100000.0,,$10.4 million[1],USD,10400000.0,10400000.0,10400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0077742/', 'AllMovie': 'https://www.allmovie.com/movie/v25065', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/67967', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/22857/enwp'}",,
210,https://en.wikipedia.org/wiki/Deathstalker_(1983_film),15895,"$457,000",USD,457000.0,457000.0,457000.0,,$5 million (theatrical)[1] or $11.9 million[2][3],USD,5000000.0,11900000.0,8450000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0087127/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/deathstalker', 'Deathstalker B-Movie Review': 'http://www.badmovies.org/movies/deathstalker/', 'Review': 'http://psychodrivein.com/dungeons-d-listers-deathstalker-1983/'}",,
