url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box_office_min,box_office_max,box_office_avg,box_office_error,external_links,error
https://en.wikipedia.org/wiki/Too_Late_(1996_film),123791,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0120378/'},
https://en.wikipedia.org/wiki/Fort_Bliss_(film),263855,,,,,,,"$669,247[1]",USD,669247.0,669247.0,669247.0,,"{'IMDb': 'https://www.imdb.com/title/tt2093995/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/fort_bliss'}",
https://en.wikipedia.org/wiki/Henry%27s_Crime,53172,$12 million,USD,12000000.0,12000000.0,12000000.0,,"$2,169,799 [1]",USD,2169799.0,2169799.0,2169799.0,,"{'IMDb': 'https://www.imdb.com/title/tt1220888/', 'AllMovie': 'https://www.allmovie.com/movie/v504146', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=henryscrime.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/henrys_crime_2010', 'Metacritic': 'https://www.metacritic.com/movie/henrys-crime'}",
https://en.wikipedia.org/wiki/Finding_Fatimah,447869,"£325,000",GBP,325000.0,325000.0,325000.0,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt6413712/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/finding_fatimah'}",
https://en.wikipedia.org/wiki/Cowboys_%26_Angels,20148,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0377701/'},
https://en.wikipedia.org/wiki/Passengers_(2008_film),13944,$25 million[1],USD,25000000.0,25000000.0,25000000.0,,$5.8 million[2],USD,5800000.0,5800000.0,5800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0449487/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=passengers.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/10009239-passengers', 'Metacritic': 'https://www.metacritic.com/movie/passengers'}",
https://en.wikipedia.org/wiki/The_Client_(1994_film),10731,$45 million[1],USD,45000000.0,45000000.0,45000000.0,,$117.6 million[2],USD,117600000.0,117600000.0,117600000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0109446/', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/018761/enwp', 'AllMovie': 'https://www.allmovie.com/movie/v131219'}",
https://en.wikipedia.org/wiki/Poker_King,29977,,,,,,,,,,,,,"{'Official website': 'http://www.pokerking.com.hk/', 'IMDb': 'https://www.imdb.com/title/tt1471236/', 'Hong Kong Movie Database': 'http://hkmdb.com/db/movies/view.mhtml?id=13944&display_set=eng', 'Hong Kong Cinemagic': 'http://www.hkcinemagic.com/en/movie.asp?id=10934'}",
https://en.wikipedia.org/wiki/On_se_calme_et_on_boit_frais_%C3%A0_Saint-Tropez,217807,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0089727/'},
https://en.wikipedia.org/wiki/Cheech_%26_Chong%27s_The_Corsican_Brothers,14774,,,,,,,"$3,772,785",USD,3772785.0,3772785.0,3772785.0,,"{'IMDb': 'https://www.imdb.com/title/tt0087042/', 'AllMovie': 'https://www.allmovie.com/movie/v124640', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/cheech_and_chongs_the_corsican_brothers', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=cheechandchongscorsicanbros..htm', 'AFI Catalog of Feature Films': 'https://catalog.afi.com/Catalog/moviedetails/57051'}",
