url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error
https://en.wikipedia.org/wiki/The_River_Rat,47638,,,,,,,"$1,142,944[1]",USD,1142944.0,1142944.0,1142944.0,,"{'IMDb': 'https://www.imdb.com/title/tt0088006/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/river_rat', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=riverrat.htm'}",
https://en.wikipedia.org/wiki/Loss_(film),37473,2.1 million litas,,,,,,,,,,,,"{'Official website': 'http://www.lossmovie.com', 'Lossreview atVariety': 'https://www.variety.com/review/VE1117938408.html?categoryid=31&cs=1&query=Loss', 'IMDb': 'https://www.imdb.com/title/tt1105732/'}",
https://en.wikipedia.org/wiki/The_Smashing_Machine:_The_Life_and_Times_of_Extreme_Fighter_Mark_Kerr,35997,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0320512/', 'AllMovie': 'https://www.allmovie.com/movie/v289862', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/537351/enwp'}",
https://en.wikipedia.org/wiki/Time_to_Spare,74049,€ 1.8 million,EUR,1800000.0,1800000.0,1800000.0,,,,,,,,"{'Official website': 'https://web.archive.org/web/20121210192819/http://www.alletijddefilm.nl/', 'IMDb': 'https://www.imdb.com/title/tt1668189/'}",
https://en.wikipedia.org/wiki/Monster%27s_Ball,1365,$4 million,USD,4000000.0,4000000.0,4000000.0,,$45 million,USD,45000000.0,45000000.0,45000000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0285742/', 'AllMovie': 'https://www.allmovie.com/movie/v257291', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/monsters_ball', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=monstersball.htm', 'YouTube': 'https://www.youtube.com/watch?v=llgL7mGYVTI'}",
https://en.wikipedia.org/wiki/In_Another_Country_(film),103753,,,,,,,,,,,,,"{'Official website': 'http://blog.naver.com/inanother', 'IMDb': 'https://www.imdb.com/title/tt1989712/', 'Korean Movie Database': 'https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/13122', 'HanCinema': 'https://www.hancinema.net/korean_movie_In_Another_Country.php'}",
https://en.wikipedia.org/wiki/Vicky_and_the_Treasure_of_the_Gods,80109,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt1584941/'},
https://en.wikipedia.org/wiki/Aamar_Bhuvan,284625,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0328810/'},
https://en.wikipedia.org/wiki/Windfall_(2010_film),83810,,,,,,,,,,,,,"{'Official Website': 'http://windfallthemovie.com/index_1.html', 'IMDb': 'https://www.imdb.com/title/tt1581829/'}",
https://en.wikipedia.org/wiki/The_Student_(2011_film),118204,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt1865357/'},
https://en.wikipedia.org/wiki/Crazy_Mama,89602,$2.3 million[1],USD,2300000.0,2300000.0,2300000.0,,$2.3 million (United States and Canada rental)[2][3],USD,2300000.0,2300000.0,2300000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0072829/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=crazymama.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/crazy_mama'}",
https://en.wikipedia.org/wiki/Derri%C3%A8re_les_murs,79574,,,,,,,$950.758 [1],USD,950.758,950.758,950.758,,{'IMDb': 'https://www.imdb.com/title/tt1642194/'},
https://en.wikipedia.org/wiki/Dirty_(1998_film),382031,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0135398/'},
https://en.wikipedia.org/wiki/Sebastian_(1995_film),213273,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0114020/'},
https://en.wikipedia.org/wiki/Exit_(2006_film),9345,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0482957/'},
https://en.wikipedia.org/wiki/Lady_Daddy,44849,,,,,,,"US$1,072,598[1]",USD,1072598.0,1072598.0,1072598.0,,"{'IMDb': 'https://www.imdb.com/title/tt1655614/', 'Korean Movie Database': 'https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/10433', 'HanCinema': 'https://www.hancinema.net/korean_movie_Lady_Daddy.php'}",
https://en.wikipedia.org/wiki/Worlds_Apart_(2015_film),350845,,,,,,,$5.1 million[1],USD,5100000.0,5100000.0,5100000.0,,"{'': 'https://web.archive.org/web/1/https://cine.gr/film.asp?id=720077', 'IMDb': 'https://www.imdb.com/title/tt3909336/'}",
https://en.wikipedia.org/wiki/Night_of_the_Living_Dead:_Resurrection,190829,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt2006801/'},
https://en.wikipedia.org/wiki/Abar_Aranye,90838,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0368559/'},
https://en.wikipedia.org/wiki/The_Show_Must_Go_On_(2007_film),55771,,,,,,,US$6.7 million[1],USD,6700000.0,6700000.0,6700000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1038110/', 'Korean Movie Database': 'https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/07301', 'HanCinema': 'https://www.hancinema.net/korean_movie_The_Show_Must_Go_on.php', 'AllMovie': 'https://www.allmovie.com/movie/v395257', 'The Show Must Go Onreview': 'http://koreanfilm.org/kfilm07.html#showmustgoon'}",
https://en.wikipedia.org/wiki/Dancing_at_the_Blue_Iguana,23941,,,,,,,"$67,913",USD,67913.0,67913.0,67913.0,,"{'IMDb': 'https://www.imdb.com/title/tt0217355/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/dancing_at_the_blue_iguana', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=dancingattheblueiguana.htm'}",
https://en.wikipedia.org/wiki/Far_from_Home_(1989_film),27984,,,,,,,"$11,859[1]",USD,11859.0,11859.0,11859.0,,"{'IMDb': 'https://www.imdb.com/title/tt0097332/', 'AllMovie': 'https://www.allmovie.com/movie/v16794', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/far_from_home'}",
https://en.wikipedia.org/wiki/Godzilla:_King_of_the_Monsters_(2019_film),373571,$170–200 million[a],USD,170.0,200000000.0,100000085.0,,$387.3 million[5],USD,387300000.0,387300000.0,387300000.0,,"{'Official website': 'http://www.godzillamovie.com', 'Archived': 'https://www.monarchsciences.net/', 'Toho Co., Ltd.': 'https://godzilla.com/filmography/godzilla-king-of-the-monsters/', 'IMDb': 'https://www.imdb.com/title/tt3741700/', 'AllMovie': 'https://www.allmovie.com/movie/v599127'}",
