movie_id,genre_id,genre_name,name
899007,18,Drama,drama
899007,10752,War,war
79357,35,Comedy,comedy
79357,53,Thriller,thriller
211148,35,Comedy,comedy
34526,10749,Romance,romance
34526,18,Drama,drama
539136,18,Drama,drama
539136,10749,Romance,romance
211158,18,Drama,drama
55895,18,Drama,drama
55895,10749,Romance,romance
418098,878,Science Fiction,science_fiction
418098,53,Thriller,thriller
418098,18,Drama,drama
603641,12,Adventure,adventure
603641,10751,Family,family
603641,80,Crime,crime
899015,35,Comedy,comedy
899015,10749,Romance,romance
318043,18,Drama,drama
318043,10749,Romance,romance
14857,18,Drama,drama
155973,28,Action,action
155973,80,Crime,crime
155973,53,Thriller,thriller
14849,18,Drama,drama
14849,14,Fantasy,fantasy
14849,35,Comedy,comedy
418143,35,Comedy,comedy
539142,18,Drama,drama
539142,10751,Family,family
155939,18,Drama,drama
211155,18,Drama,drama
34546,28,Action,action
34546,18,Drama,drama
34546,12,Adventure,adventure
899009,10749,Romance,romance
296695,28,Action,action
296695,18,Drama,drama
296695,14,Fantasy,fantasy
14853,28,Action,action
14853,27,Horror,horror
14853,878,Science Fiction,science_fiction
14851,28,Action,action
14851,53,Thriller,thriller
55902,28,Action,action
55902,53,Thriller,thriller
318044,10402,Music,music
318044,99,Documentary,documentary
14854,28,Action,action
14854,80,Crime,crime
539131,10749,Romance,romance
34561,10752,War,war
34561,18,Drama,drama
34561,36,History,history
112594,14,Fantasy,fantasy
112594,27,Horror,horror
112594,35,Comedy,comedy
473300,18,Drama,drama
211156,27,Horror,horror
112588,18,Drama,drama
418093,9648,Mystery,mystery
418093,53,Thriller,thriller
418093,18,Drama,drama
79361,35,Comedy,comedy
296690,28,Action,action
296690,18,Drama,drama
296690,10749,Romance,romance
155941,10749,Romance,romance
155941,18,Drama,drama
34533,53,Thriller,thriller
34533,878,Science Fiction,science_fiction
473307,12,Adventure,adventure
473307,18,Drama,drama
473307,10749,Romance,romance
473307,35,Comedy,comedy
55903,18,Drama,drama
55903,53,Thriller,thriller
55903,80,Crime,crime
318040,18,Drama,drama
318040,10749,Romance,romance
112592,35,Comedy,comedy
112592,18,Drama,drama
79370,35,Comedy,comedy
34544,53,Thriller,thriller
34544,28,Action,action
34544,12,Adventure,adventure
34544,35,Comedy,comedy
34544,80,Crime,crime
34574,27,Horror,horror
34574,53,Thriller,thriller
374742,18,Drama,drama
341501,18,Drama,drama
341501,9648,Mystery,mystery
341501,53,Thriller,thriller
79360,35,Comedy,comedy
34563,35,Comedy,comedy
318051,18,Drama,drama
318051,36,History,history
79362,18,Drama,drama
79362,36,History,history
14862,27,Horror,horror
14862,9648,Mystery,mystery
14862,53,Thriller,thriller
55906,35,Comedy,comedy
