movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb,is_sequel_my,quarter,month,year,revenue_usd_adj,surplus,ratio_adj,roi,is_released_US,is_released_CN,is_released_FR,is_released_GB,is_released_JP,is_released,digital_physical_date,days_from_us_release
200259,tt2329674,bg,"Пистолет, куфар и 3 смърдящи варела",2012-09-12 00:00:00+00:00,98,,217794.0,217794,,48437.19783618038,U,/lists/tt2329674,,471.0,5.3,0.0,0.0,0,3,9,2012,277613.975408765,90369.78986820213,5.73142105263158,1.8657105263157898,False,False,False,False,False,False,,9999.0
163188,tt0934964,cn,心想事成,2007-02-14 00:00:00+00:00,105,,1379416.0,1379416,,1806494.153524129,U,/lists/tt0934964,,107.0,4.4,0.0,0.0,0,1,2,2007,1946990.9110551646,-832998.6979965466,1.0777731592748048,-0.4611134203625976,False,False,False,False,False,False,,9999.0
47752,tt0965429,it,L'imbroglio nel lenzuolo,2010-06-18 00:00:00+00:00,105,,492068.0,492068,,13283661.664893419,U,/lists/tt0965429,,117.0,4.8,0.0,0.0,0,2,6,2010,660409.0717063505,-12953457.129040243,0.04971589072098287,-0.9751420546395085,False,False,False,False,False,False,,9999.0
188698,tt2871768,es,El método Arrieta,2013-05-01 00:00:00+00:00,88,,4146.0,4146,,409.5413745884433,U,/lists/tt2871768,,9.0,8.8,0.0,0.0,0,2,5,2013,5208.461776207626,2194.6895135153695,12.717791411042946,5.358895705521472,False,False,False,False,False,False,,9999.0
211137,tt0431155,en,Issues,2005-09-01 00:00:00+00:00,87,783.0,,783,783.0,74924.47516641063,U,/lists/tt0431155,,102.0,5.6,0.0,0.0,0,3,9,2005,1173.3172811059906,-74337.81652585763,0.01566,-0.99217,True,False,False,False,False,True,,9999.0
28149,tt0338294,en,Nowhere Man,2005-03-11 00:00:00+00:00,78,3105.0,,3105,173.0,374622.37583205325,U,https://www.metacritic.com/movie/nowhere-man?ftag=MCD-06-10aaa1c,41.0,205.0,3.7,0.0,0.0,0,1,3,2005,4652.809907834101,-372295.9708781362,0.012419999999999999,-0.9937900000000001,True,False,False,False,False,True,,9999.0
198444,tt2336284,en,Blitz Patrollie,2012-07-27 00:00:00+00:00,101,,143190.0,143190,,1297598.1141275468,U,/lists/tt2336284,,106.0,5.5,0.0,0.0,0,3,7,2012,182519.0094253334,-1206338.6094148802,0.1406591204458184,-0.9296704397770909,False,False,False,False,False,False,2022-01-18 00:00:00+00:00,9999.0
176801,tt1456110,de,Vielleicht in einem anderen Leben,2011-01-21 00:00:00+00:00,90,,72902.0,72902,,1759138.3686243824,U,/lists/tt1456110,,63.0,6.6,0.0,0.0,0,1,1,2011,94848.53586972468,-1711714.1006895201,0.05391760964425709,-0.9730411951778715,False,False,False,False,False,False,,9999.0
226461,tt1918638,ar,قصة ثواني,2013-02-21 00:00:00+00:00,87,,94920.0,94920,,565317.8483582806,U,/lists/tt1918638,,137.0,6.7,0.0,0.0,0,1,2,2013,119244.37814704,-505695.6592847606,0.21093333333333336,-0.8945333333333333,False,False,False,False,False,False,2021-06-10 00:00:00+00:00,9999.0
200427,tt1809214,en,5.5.5,2013-02-14 00:00:00+00:00,110,,11273.0,11273,,125626.18852406237,U,/lists/tt1809214,,172.0,6.1,0.0,0.0,0,1,2,2013,14161.84023231755,-118545.2684079036,0.11273,-0.943635,False,False,False,False,False,False,,9999.0
71350,tt1322325,fr,Chicas,2010-03-10 00:00:00+00:00,84,,158653.0,158653,,10959665.086032946,U,/lists/tt1322325,,66.0,4.8,0.0,0.0,0,1,3,2010,212929.67730766407,-10853200.247379113,0.01942848395787411,-0.9902857580210629,False,False,True,False,False,True,,9999.0
117338,tt0483701,en,"Karma, Confessions and Holi",2009-03-06 00:00:00+00:00,145,,40100.0,40100,,5456494.6839006785,U,/lists/tt0483701,,122.0,3.0,0.0,0.0,0,1,3,2009,54701.359206104295,-5429144.004297626,0.010025,-0.9949874999999999,False,False,False,False,False,False,,9999.0
31029,tt0439518,en,Crazy Monkey Presents Straight Outta Benoni,2005-08-01 00:00:00+00:00,89,,345949.0,345949,,1829014.3300563234,U,/lists/tt0439518,,228.0,5.0,0.0,0.0,0,3,8,2005,518400.9451868918,-1569813.8574628774,0.28343186637084905,-0.8582840668145755,True,False,False,False,False,True,,9999.0
221963,tt2346354,ru,神秘世界历险记,2012-08-10 00:00:00+00:00,80,,334195.0,334195,,1002058.5515300923,U,/lists/tt2346354,,23.0,6.2,0.0,0.0,0,3,8,2012,425986.03502269223,-789065.5340187461,0.42511092228316727,-0.7874445388584164,False,True,False,False,False,True,,9999.0
190762,tt1529279,en,Into the Shadows,2009-10-29 00:00:00+00:00,88,,1978.0,1978,,30984.70506253,U,/lists/tt1529279,,40.0,7.5,0.0,0.0,0,4,10,2009,2698.2366211888857,-29635.586751935556,0.08708285638813068,-0.9564585718059346,False,False,False,False,False,False,,9999.0
182535,tt1378274,en,Kung Fu Joe,2012-02-10 00:00:00+00:00,89,15120.0,,15120,3158.0,191199.4651428173,U,/lists/tt1378274,,227.0,1.7,0.0,0.0,0,1,2,2012,19272.906086395986,-181563.0120996193,0.10080000000000001,-0.9496000000000001,False,False,False,False,False,False,,9999.0
29636,tt0804536,en,Strangers Online,2009-01-01 00:00:00+00:00,90,968.0,,968,968.0,25918.34974852822,U,/lists/tt0804536,,21.0,4.5,0.0,0.0,0,1,1,2009,1320.471713503964,-25258.11389177624,0.05094736842105263,-0.9745263157894738,True,False,False,False,False,True,,9999.0
75693,tt0444966,en,大無謂,2004-11-25 00:00:00+00:00,89,,262265.0,262265,,1549258.8671254632,U,/lists/tt0444966,,50.0,5.6,0.0,0.0,0,4,11,2004,406316.37678665953,-1346100.6787321335,0.26226499999999997,-0.8688675,False,False,False,False,False,False,,9999.0
19784,tt1111922,en,Magique !,2008-10-22 00:00:00+00:00,91,,993591.0,993591,,6252643.948296121,U,/lists/tt1111922,,117.0,4.9,0.0,0.0,0,4,10,2008,1350558.8593981504,-5577364.518597046,0.21599804347826088,-0.8920009782608695,True,False,False,False,False,True,,9999.0
123492,tt1598609,en,Skeem,2011-10-27 00:00:00+00:00,90,,71505.0,71505,,1561249.9388723164,U,/lists/tt1598609,,76.0,6.8,0.0,0.0,0,4,10,2011,93030.98073255416,-1514734.4485060393,0.05958750000000001,-0.97020625,False,False,False,False,False,False,,9999.0
